record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_AtD00TV9UWVBkqJCe,1524797Ce,new_entry,original,,,"Portugal ""Council of Ministers changes the schedule for the  access to higher education in 2020""April 9 2020",2020-04-09,2020-04-09,,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Portugal,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.portugal.gov.pt/pt/gc22/comunicacao/noticia?i=conselho-de-ministros-altera-calendario-acesso-ensino-superior,2020-05-03,2020-05-03T18:08:07Z
R_1QuTYo5gL7UygvkDy,9855045Dy,update,original,,Strengthening,"Portugal announced on April 9 measurements for the 3rd period of the academic year 2020. Most in-classroom-teaching remains suspended until the end of the academic year with the exception that  ""the Government may decide to resume face-to-face classes for the 11th and 12th years of schooling, guaranteeing social distance (classes, rooms, classes) and justifying the absences of students. students whose guardians choose not to attend;"" UPDATE: Educational institutions were supposed to be closed until April 13.As of April 9, the grades 11 and 12 may return to classroom teaching. All others are supposed to have virtual education.",2020-04-09,2020-04-14,2020-06-26,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Portugal,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=340,2020-04-13,2020-04-13T09:35:05Z
R_1QuTYo5gL7UygvkEa,9855045Ea,update,original,,Strengthening,"Portugal announced on April 9 measurements for the 3rd period of the academic year 2020. Most in-classroom-teaching remains suspended until the end of the academic year with the exception that  ""the Government may decide to resume face-to-face classes for the 11th and 12th years of schooling, guaranteeing social distance (classes, rooms, classes) and justifying the absences of students. students whose guardians choose not to attend;"" UPDATE: Educational institutions were supposed to be closed until April 13.As of April 9, the grades 11 and 12 may return to classroom teaching. All others are supposed to have virtual education.",2020-04-09,2020-04-14,2020-06-26,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Portugal,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=340,2020-04-13,2020-04-13T09:35:05Z
R_1QuTYo5gL7UygvkFj,9855045Fj,update,original,,Strengthening,"Portugal announced on April 9 measurements for the 3rd period of the academic year 2020. Most in-classroom-teaching remains suspended until the end of the academic year with the exception that  ""the Government may decide to resume face-to-face classes for the 11th and 12th years of schooling, guaranteeing social distance (classes, rooms, classes) and justifying the absences of students. students whose guardians choose not to attend;"" UPDATE: Educational institutions were supposed to be closed until April 13.As of April 9, the grades 11 and 12 may return to classroom teaching. All others are supposed to have virtual education.",2020-04-09,2020-04-14,2020-06-26,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Portugal,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=340,2020-04-13,2020-04-13T09:35:05Z
R_2XbU0X5pUsIFBDZDy,9855045Dy,update,original,End of Policy,Strengthening,"Portugal suspended ""all classroom and non-teaching activities in schools at all levels of education as of next Monday, March 16"". As of May 18, Portugal reopens ""schools for 11th and 12th years, from 10 am to 5 pm, day care centers (with the option of supporting the family), and social facilities in the area of ​​disability"" UPDATE: All schools were closed. Now the final classes are allowed to go back as of May 18",2020-04-30,2020-05-18,,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Portugal,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=330 ; Higher education also included ; https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=344,2020-05-03,2020-05-03T19:27:42Z
R_2XbU0X5pUsIFBDZEa,9855045Ea,update,original,End of Policy,Strengthening,"Portugal suspended ""all classroom and non-teaching activities in schools at all levels of education as of next Monday, March 16"". As of May 18, Portugal reopens ""schools for 11th and 12th years, from 10 am to 5 pm, day care centers (with the option of supporting the family), and social facilities in the area of ​​disability"" UPDATE: All schools were closed. Now the final classes are allowed to go back as of May 18",2020-04-30,2020-05-18,,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Portugal,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=330 ; Higher education also included ; https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=344,2020-05-03,2020-05-03T19:27:42Z
R_2XbU0X5pUsIFBDZFj,9855045Fj,update,original,End of Policy,Strengthening,"Portugal suspended ""all classroom and non-teaching activities in schools at all levels of education as of next Monday, March 16"". As of May 18, Portugal reopens ""schools for 11th and 12th years, from 10 am to 5 pm, day care centers (with the option of supporting the family), and social facilities in the area of ​​disability"" UPDATE: All schools were closed. Now the final classes are allowed to go back as of May 18",2020-04-30,2020-05-18,,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Portugal,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=330 ; Higher education also included ; https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=344,2020-05-03,2020-05-03T19:27:42Z
R_2XbU0X5pUsIFBDZCe,9855045Ce,update,original,End of Policy,Strengthening,"Portugal suspended ""all classroom and non-teaching activities in schools at all levels of education as of next Monday, March 16"". As of May 18, Portugal reopens ""schools for 11th and 12th years, from 10 am to 5 pm, day care centers (with the option of supporting the family), and social facilities in the area of ​​disability"" UPDATE: All schools were closed. Now the final classes are allowed to go back as of May 18",2020-04-30,2020-05-18,,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Portugal,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=330 ; Higher education also included ; https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=344,2020-05-03,2020-05-03T19:27:42Z
R_2VvIaUVRcQRV5HFDy,9855045Dy,update,original,End of Policy,Strengthening,"Portugal suspended ""all classroom and non-teaching activities in schools at all levels of education as of next Monday, March 16"" Portugal announced ""Reopening of daycare centers, pre-school and ATL"" for June 1 UPDATE: Reopening of daycare centers, pre-school and ATL",2020-04-30,2020-06-01,,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Portugal,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=330 ; Higher education also included ; https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=344,2020-05-03,2020-05-03T19:43:24Z
R_2VvIaUVRcQRV5HFEa,9855045Ea,update,original,End of Policy,Strengthening,"Portugal suspended ""all classroom and non-teaching activities in schools at all levels of education as of next Monday, March 16"" Portugal announced ""Reopening of daycare centers, pre-school and ATL"" for June 1 UPDATE: Reopening of daycare centers, pre-school and ATL",2020-04-30,2020-06-01,,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Portugal,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=330 ; Higher education also included ; https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=344,2020-05-03,2020-05-03T19:43:24Z
R_2VvIaUVRcQRV5HFFj,9855045Fj,update,original,End of Policy,Strengthening,"Portugal suspended ""all classroom and non-teaching activities in schools at all levels of education as of next Monday, March 16"" Portugal announced ""Reopening of daycare centers, pre-school and ATL"" for June 1 UPDATE: Reopening of daycare centers, pre-school and ATL",2020-04-30,2020-06-01,,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Portugal,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=330 ; Higher education also included ; https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=344,2020-05-03,2020-05-03T19:43:24Z
R_2VvIaUVRcQRV5HFCe,9855045Ce,update,original,End of Policy,Strengthening,"Portugal suspended ""all classroom and non-teaching activities in schools at all levels of education as of next Monday, March 16"" Portugal announced ""Reopening of daycare centers, pre-school and ATL"" for June 1 UPDATE: Reopening of daycare centers, pre-school and ATL",2020-04-30,2020-06-01,,Portugal,PRT,PT,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Portugal,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=330 ; Higher education also included ; https://www.portugal.gov.pt/pt/gc22/governo/comunicado-de-conselho-de-ministros?i=344,2020-05-03,2020-05-03T19:43:24Z
R_21b1MstaDtcKFRrNA,8533922,new_entry,original,,,The president of Portugal announced on March 18 the national state of emergency to last for 15 days.,2020-03-18,2020-03-18,2020-04-02,Portugal,PRT,PT,National,1,,,,Declaration of Emergency,,,,Portugal,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://dre.pt/web/guest/home/-/dre/130399862/details/maximized,2020-04-04,2020-04-04T15:30:40Z
R_2PpzRtQiHYOYTHeNA,5945175,new_entry,original,,,"Portugal ""declares the situation of disaster in the municipality of Ovar, following the epidemiological situation of Covid-19"" March 19",2020-03-19,2020-03-18,,Portugal,PRT,PT,Municipal,1,Aveiro,PT-01,Ovar,Declaration of Emergency,,,,Portugal,,,Aveiro,Ovar,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://dre.pt/application/conteudo/130413790,2020-04-11,2020-04-11T07:56:00Z
R_1ptK2zyZ0TGOzRkNA,8533922,update,original,Change of Policy,Strengthening,"The president of Portugal announced on March 18 the national state of emergency to last for 15 days. State of Emergency was renewed on April 2, and a second time on April 17. UPDATE: State of Emergency extended for 2nd time until May 2",2020-03-18,2020-03-18,2020-05-02,Portugal,PRT,PT,National,1,,,,Declaration of Emergency,,,,Portugal,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://dre.pt/web/guest/home/-/dre/130399862/details/maximized ; https://dre.pt/web/guest/pesquisa/-/search/131908497/details/maximized,2020-05-03,2020-05-03T18:37:33Z
R_1JRSInKaDbpBvIONA,8533922,update,original,,,"The Council of Ministers of Portugal stated on April 2 that the National State of Emergency has been extended by 15 days. UPDATE: The original State of Emergency was set to last until April 2, it has been extended by another 15 days.",2020-04-02,2020-04-02,2020-04-17,Portugal,PRT,PT,National,1,,,,Declaration of Emergency,,,,Portugal,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.portugal.gov.pt/pt/gc22/comunicacao/noticia?i=governo-limita-circulacao-intermunicipal-no-periodo-da-pascoa,2020-04-04,2020-04-04T15:44:53Z
R_31mZYFkGjqutAGkFw,3145094,new_entry,original,,,"The Portuguese government suspended flights to and from the most afected areas in Italy (Emilia-Romagna, Piedmont, Lombardy and Veneto) for 14 days.",2020-03-09,2020-03-10,2020-03-19,Portugal,PRT,PT,National,0,,,,External Border Restrictions,Total border crossing ban,,,Portugal,"One or more countries, but not all countries",,,,,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),National Government,,,,,https://dre.pt/web/guest/home/-/dre/130114104/details/maximized,2021-01-29,2021-01-29T22:01:57Z
