record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_2q2YfynnhRcrpoENA,2910226,new_entry,original,,,"Singapore Ministry of Communications and Information designates the Facebook page of The Singapore States Times a ""Declared Online Location"" under the ""Protection from Online Falsehoods and Manipulation Act"" on Feb 17, 2020. Facebook has been ordered to restrict Singapore users' access to the page.",2020-02-17,2020-02-17,,Singapore,SGP,SG,National,1,,,,Anti-Disinformation Measures,,,,Singapore,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",National Government,43.6286584963761,40.468232447449,36.951137275782,134,https://www.channelnewsasia.com/news/singapore/pofma-facebook-disable-singapore-states-times-review-covid19-12443134?cid=h3_referral_inarticlelinks_24082018_cna,2020-05-20,2020-05-20T03:48:21Z
R_3Hv2Jzsov2zTT6VNA,8427260,new_entry,original,,,"In Singapore, The Protection from Online Falsehoods and Manipulation Act (Pofma) which came into force in October 2019 is being used to combat misleading statements about covid-19. The Act gives individual government ministers the power to unilaterally declare online content “false or misleading” and demand that it be corrected or taken down. It is controversial, with many believing it is government overreach, while the government says it will assist by monitoring information about the pandemic to the public.",2020-03-16,2020-03-16,,Singapore,SGP,SG,National,1,,,,Anti-Disinformation Measures,,,,Singapore,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,50.5426058287042,47.2494836510181,44.2939248162275,73,https://www.washingtonpost.com/world/asia_pacific/exploiting-fake-news-laws-singapore-targets-tech-firms-over-coronavirus-falsehoods/2020/03/16/a49d6aa0-5f8f-11ea-ac50-18701e14e06d_story.html,2020-07-29,2020-07-29T07:07:10Z
R_VKeh1geXpJIKxuVNA,2114264,new_entry,original,,,A Singapore Government webpage from April 23 2020 responded to false information about the Covid-19 pandemic that had been circulated via whatsapp and other messaging services. This webpage listed the most common fake messages circulating with instructions to ignore them.,2020-04-23,2020-04-23,,Singapore,SGP,SG,National,1,,,,Anti-Disinformation Measures,,,,Singapore,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,72.8890303530678,70.324084393861,67.6656681903366,82,https://www.gov.sg/article/covid-19-clarifications,2020-07-10,2020-07-10T05:58:41Z
R_Th0RuTs31B29st3Ea,9317092Ea,new_entry,original,,,"On 2/7/20 the Singapore Ministry of Health issued the following announced ""With immediate effect, schools will suspend inter-school and external activities till the end of the March school holidays. These include the national school games, learning journeys and camps. All schools and teachers will also continue to implement the enhanced measures announced on 4 February, such as classroom-based assemblies, school-based co-curricular activities in smaller groups and staggered recesses.""",2020-02-07,2020-02-07,2020-03-22,Singapore,SGP,SG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Singapore,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,38.585958547754,34.9493411175709,30.7093792749652,134,https://www.moh.gov.sg/news-highlights/details/risk-assessment-raised-to-dorscon-orange,2020-05-20,2020-05-20T05:38:49Z
R_Th0RuTs31B29st3Fj,9317092Fj,new_entry,original,,,"On 2/7/20 the Singapore Ministry of Health issued the following announced ""With immediate effect, schools will suspend inter-school and external activities till the end of the March school holidays. These include the national school games, learning journeys and camps. All schools and teachers will also continue to implement the enhanced measures announced on 4 February, such as classroom-based assemblies, school-based co-curricular activities in smaller groups and staggered recesses.""",2020-02-07,2020-02-07,2020-03-22,Singapore,SGP,SG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Singapore,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,38.585958547754,34.9493411175709,30.7093792749652,134,https://www.moh.gov.sg/news-highlights/details/risk-assessment-raised-to-dorscon-orange,2020-05-20,2020-05-20T05:38:49Z
R_Th0RuTs31B29st3Ce,9317092Ce,new_entry,original,,,"On 2/7/20 the Singapore Ministry of Health issued the following announced ""With immediate effect, schools will suspend inter-school and external activities till the end of the March school holidays. These include the national school games, learning journeys and camps. All schools and teachers will also continue to implement the enhanced measures announced on 4 February, such as classroom-based assemblies, school-based co-curricular activities in smaller groups and staggered recesses.""",2020-02-07,2020-02-07,2020-03-22,Singapore,SGP,SG,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Singapore,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,38.585958547754,34.9493411175709,30.7093792749652,134,https://www.moh.gov.sg/news-highlights/details/risk-assessment-raised-to-dorscon-orange,2020-05-20,2020-05-20T05:38:49Z
R_1QzKISKiwFOCwALCe,6448525Ce,new_entry,original,,,"Universities in Singapore changed to online learning only in February 2020, despite there being no government directive to do so as yet.",2020-03-20,2020-02-18,,Singapore,SGP,SG,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Singapore,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),44.0314293101743,40.6903743609927,37.4068238835307,135,https://www.timeshighereducation.com/blog/educating-despite-covid-19-outbreak-lessons-singapore,2020-07-10,2020-07-10T07:48:56Z
R_b1QEvv9I4MAnw1HDy,2899645Dy,new_entry,original,,,"On April 3 2020, Singapore announced the closure of schools. All schools were closed temporarily with lessons online starting Wednesday, April 8. This was estimated to last for 1 month.",2020-04-03,2020-04-03,2020-05-04,Singapore,SGP,SG,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Singapore,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,58.3943146008462,55.909679378664,53.1833700763771,19,https://www.cnbc.com/2020/04/03/singapore-shuts-schools-temporarily-closes-workplaces-to-curb-coronavirus.html,2020-07-10,2020-07-10T06:22:05Z
R_b1QEvv9I4MAnw1HEa,2899645Ea,new_entry,original,,,"On April 3 2020, Singapore announced the closure of schools. All schools were closed temporarily with lessons online starting Wednesday, April 8. This was estimated to last for 1 month.",2020-04-03,2020-04-03,2020-05-04,Singapore,SGP,SG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Singapore,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,58.3943146008462,55.909679378664,53.1833700763771,19,https://www.cnbc.com/2020/04/03/singapore-shuts-schools-temporarily-closes-workplaces-to-curb-coronavirus.html,2020-07-10,2020-07-10T06:22:05Z
R_b1QEvv9I4MAnw1HFj,2899645Fj,new_entry,original,,,"On April 3 2020, Singapore announced the closure of schools. All schools were closed temporarily with lessons online starting Wednesday, April 8. This was estimated to last for 1 month.",2020-04-03,2020-04-03,2020-05-04,Singapore,SGP,SG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Singapore,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,58.3943146008462,55.909679378664,53.1833700763771,19,https://www.cnbc.com/2020/04/03/singapore-shuts-schools-temporarily-closes-workplaces-to-curb-coronavirus.html,2020-07-10,2020-07-10T06:22:05Z
