record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_1M4Ko6ApyDmJP5SEa,3249148Ea,new_entry,original,,,"ON March 12, Slovak government announces intention to close schools and universities beginning Monday March 16, to be upheld for at least 14 days.",2020-03-12,2020-03-16,2020-03-30,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Slovakia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.health.gov.sk/Clanok?koronavirus-opatrenia-sprisnene,2020-04-03,2020-04-03T09:16:22Z
R_1M4Ko6ApyDmJP5SFj,3249148Fj,new_entry,original,,,"ON March 12, Slovak government announces intention to close schools and universities beginning Monday March 16, to be upheld for at least 14 days.",2020-03-12,2020-03-16,2020-03-30,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Slovakia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.health.gov.sk/Clanok?koronavirus-opatrenia-sprisnene,2020-04-03,2020-04-03T09:16:22Z
R_1M4Ko6ApyDmJP5SCe,3249148Ce,new_entry,original,,,"ON March 12, Slovak government announces intention to close schools and universities beginning Monday March 16, to be upheld for at least 14 days.",2020-03-12,2020-03-16,2020-03-30,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Slovakia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.health.gov.sk/Clanok?koronavirus-opatrenia-sprisnene,2020-04-03,2020-04-03T09:16:22Z
R_2rZuzZ0G3LVX94bNA,7620606,new_entry,original,,,"An emergency situation will apply for all of Slovakia as of Thursday, March 12.",2020-03-11,2020-03-12,,Slovakia,SVK,SK,National,1,,,,Declaration of Emergency,,,,Slovakia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://spectator.sme.sk/c/22356193/emergency-situation-applies-from-thursday-morning.html,2020-06-11,2020-06-11T19:03:37Z
R_55rtJDXCZNN7xZLNA,9569474,new_entry,original,,,"On February 27, Slovak Government advises citizens to reconsider travel to risk countries (list of which is issued and continually updated by Slovak Foreign Ministry). Emergency SMS will be sent to travelers upon return to inform them of COVID-19 prevention measures.",2020-02-27,2020-02-27,,Slovakia,SVK,SK,National,0,,,,External Border Restrictions,,,,Slovakia,"One or more countries, but not all countries",,,,,Citizen Travelers,Inbound/Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,National Government,,,,,https://www.health.gov.sk/Clanok?aktualne-opatrenia-v-suvislosti-s-koronavirusom,2020-04-01,2020-04-01T21:58:06Z
R_3hFUmIgzcBINzQ3NA,4586368,new_entry,original,,,"On March 12, Slovak Government announces the closure of all three international airports. Temporary border checks will also be instated on land border crossings with all neighbor countries except for Poland - only citizens or long-term residents will be allowed into the country. All arriving travelers need to self-quarantine for at least 14 days after their arrival.",2020-03-12,2020-03-12,,Slovakia,SVK,SK,National,0,,,,External Border Restrictions,,,,Slovakia,"One or more countries, but not all countries",,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://www.health.gov.sk/Clanok?koronavirus-opatrenia-sprisnene,2020-04-03,2020-04-03T09:32:45Z
R_SCdEGFIidL8Dpe1NA,4823236,new_entry,original,,,"On February 24, Slovak Government announces measures regarding all planes landing in Slovakia from Italy. All passengers will be asked to fill out a form which would store their information in the case they would need to be contacted later on. Passengers are also encouraged to make use of the coronavirus callcenter hotlines should they have any questions or concerns.",2020-02-24,2020-02-25,,Slovakia,SVK,SK,National,1,,,,Health Monitoring,,,,Slovakia,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),Inbound,Flights,Mandatory (Unspecified/Implied),National Government,,,,,https://www.health.gov.sk/Clanok?koronavirus-opatrenia-letisko,2020-04-01,2020-04-01T21:46:16Z
R_2af1Fyp17DFSdaSNA,9760332,new_entry,original,,,Citizens who have recently traveled are advised to monitor their symptoms for at least 14 days and contact their doctor via telephone or email should they observe symptoms similar to those of COVID-19.,2020-02-27,2020-02-27,,Slovakia,SVK,SK,National,1,,,,Health Monitoring,,,,Slovakia,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),Inbound,All kinds of transport,Voluntary/Recommended but No Penalties,National Government,,,,,https://www.health.gov.sk/Clanok?aktualne-opatrenia-v-suvislosti-s-koronavirusom,2020-04-01,2020-04-01T22:05:36Z
R_3hxAq5tInC5OZaQNA,9053534,new_entry,original,,,"On 28 February 2020, the government of Slovakia is starting with temperature screening of passengers for all passengers arriving in Slovakia by air.",2020-02-28,2020-02-28,,Slovakia,SVK,SK,National,1,,,,Health Monitoring,,,,Slovakia,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://www.bts.aero/en/airport/press/latest-news/covid-19-current-preventive-measures-at-the-airport/,2020-06-08,2020-06-08T14:59:02Z
R_1f32jcXiiAaCoUhNA,7082935,new_entry,original,,,"On March 24, Slovak Government ruled that there are to be temperature checks at the entrance of hospitals, shops, factories and places where people gather.",2020-03-24,2020-03-24,,Slovakia,SVK,SK,National,1,,,,Health Monitoring,,,,Slovakia,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),Inbound/Outbound,Not Applicable,Mandatory (Unspecified/Implied),National Government,,,,,https://www.health.gov.sk/Clanok?covid-19-24-3-2020-opatrenia,2020-04-03,2020-04-03T12:34:51Z
