record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_3n1NIDPlooDTPI3NA,5587916,new_entry,original,,,"To provide the public with all relevent information regarding the outbreak, the Surinamese government created a website for public access. The website is accessible by any member of the public, but can only be edited by members of the Corona emergency response team, and associated doctors and researchers.",2020-08-27,2020-08-27,,Suriname,SUR,SR,National,1,,,,Anti-Disinformation Measures,,,,Suriname,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,New (COVID-19 specific) Task Force,82.3858646414655,79.5859315481791,76.1619616132357,136,https://covid-19.sr/situation-report/,2020-09-23,2020-09-23T15:55:55Z
R_1eJq3AlM1GJey1GDy,3364240Dy,new_entry,original,,,Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April.,2020-03-14,2020-03-16,2020-04-15,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Suriname,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,52.5874818242252,48.3109459646293,43.7004393780975,82,https://www.srherald.com/suriname/2020/03/14/breaking-alle-scholen-vanaf-maandag-gesloten-wegens-coronavirus/,2020-10-14,2020-10-14T12:14:24Z
R_1eJq3AlM1GJey1GEa,3364240Ea,new_entry,original,,,Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April.,2020-03-14,2020-03-16,2020-04-15,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Suriname,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,52.5874818242252,48.3109459646293,43.7004393780975,82,https://www.srherald.com/suriname/2020/03/14/breaking-alle-scholen-vanaf-maandag-gesloten-wegens-coronavirus/,2020-10-14,2020-10-14T12:14:24Z
R_1eJq3AlM1GJey1GFj,3364240Fj,new_entry,original,,,Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April.,2020-03-14,2020-03-16,2020-04-15,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Suriname,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,52.5874818242252,48.3109459646293,43.7004393780975,82,https://www.srherald.com/suriname/2020/03/14/breaking-alle-scholen-vanaf-maandag-gesloten-wegens-coronavirus/,2020-10-14,2020-10-14T12:14:24Z
R_1eJq3AlM1GJey1GCe,3364240Ce,new_entry,original,,,Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April.,2020-03-14,2020-03-16,2020-04-15,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Suriname,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,52.5874818242252,48.3109459646293,43.7004393780975,82,https://www.srherald.com/suriname/2020/03/14/breaking-alle-scholen-vanaf-maandag-gesloten-wegens-coronavirus/,2020-10-14,2020-10-14T12:14:24Z
R_3Pc7R9gEAHfu4TwDy,3364240Dy,update,original,Change of Policy,Strengthening,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April. UPDATE: Originally, the Minister of Education announced that schools will reopen on the 15th of April. However, on April 2nd, she announced that they cannot enforce existing policies in schools. As a result, schools remain closed until the policies can be enforced.",2020-04-02,2020-04-15,2020-04-15,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Suriname,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,78.1900784251062,74.6807496191005,70.9730704176396,101,NA ; https://www.waterkant.net/suriname/2020/04/02/scholen-in-suriname-blijven-langer-dicht-om-coronavirus/,2020-12-17,2020-12-17T05:00:18Z
R_3Pc7R9gEAHfu4TwEa,3364240Ea,update,original,Change of Policy,Strengthening,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April. UPDATE: Originally, the Minister of Education announced that schools will reopen on the 15th of April. However, on April 2nd, she announced that they cannot enforce existing policies in schools. As a result, schools remain closed until the policies can be enforced.",2020-04-02,2020-04-15,2020-04-15,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Suriname,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,78.1900784251062,74.6807496191005,70.9730704176396,101,NA ; https://www.waterkant.net/suriname/2020/04/02/scholen-in-suriname-blijven-langer-dicht-om-coronavirus/,2020-12-17,2020-12-17T05:00:18Z
R_3Pc7R9gEAHfu4TwFj,3364240Fj,update,original,Change of Policy,Strengthening,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April. UPDATE: Originally, the Minister of Education announced that schools will reopen on the 15th of April. However, on April 2nd, she announced that they cannot enforce existing policies in schools. As a result, schools remain closed until the policies can be enforced.",2020-04-02,2020-04-15,2020-04-15,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Suriname,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,78.1900784251062,74.6807496191005,70.9730704176396,101,NA ; https://www.waterkant.net/suriname/2020/04/02/scholen-in-suriname-blijven-langer-dicht-om-coronavirus/,2020-12-17,2020-12-17T05:00:18Z
R_3Pc7R9gEAHfu4TwCe,3364240Ce,update,original,Change of Policy,Strengthening,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April. UPDATE: Originally, the Minister of Education announced that schools will reopen on the 15th of April. However, on April 2nd, she announced that they cannot enforce existing policies in schools. As a result, schools remain closed until the policies can be enforced.",2020-04-02,2020-04-15,2020-04-15,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Suriname,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,78.1900784251062,74.6807496191005,70.9730704176396,101,NA ; https://www.waterkant.net/suriname/2020/04/02/scholen-in-suriname-blijven-langer-dicht-om-coronavirus/,2020-12-17,2020-12-17T05:00:18Z
R_2rYe6NzhPij26GdDy,3364240Dy,update,correction,,Strengthening,"Suriname closed all schools effective March 16th. The plan is to reopen schools the 15th of April. UPDATE: As of the 08th of June, certain classes can go back to school. These classes are for preparation for the upcoming exams.",2020-06-06,2020-06-08,2020-07-13,Suriname,SUR,SR,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Suriname,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,77.7427019784168,74.5176311073438,71.1408390870718,120,NA ; https://www.starnieuws.com/index.php/welcome/index/nieuwsitem/58981,2020-12-17,2020-12-17T07:39:49Z
