record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_1MKgVRhVNFS0xsNEa,5851966Ea,new_entry,correction,,,"In Turkmenistan, on March 30, 2020, it was announced that spring break in schools is going to be extended for one week until April 6 by decision of Ministry of Education. It was done as a preventive measure against the spread of the COVID-19.",2020-03-30,2020-03-30,2020-04-06,Turkmenistan,TKM,TM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Turkmenistan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,56.6930142216196,53.4985683513143,50.4292485013742,20,https://fergana.agency/news/116586/,2021-04-11,2021-04-11T08:07:16Z
R_1MKgVRhVNFS0xsNFj,5851966Fj,new_entry,correction,,,"In Turkmenistan, on March 30, 2020, it was announced that spring break in schools is going to be extended for one week until April 6 by decision of Ministry of Education. It was done as a preventive measure against the spread of the COVID-19.",2020-03-30,2020-03-30,2020-04-06,Turkmenistan,TKM,TM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Turkmenistan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,56.6930142216196,53.4985683513143,50.4292485013742,20,https://fergana.agency/news/116586/,2021-04-11,2021-04-11T08:07:16Z
R_1GCtlZfqkH1Dx4dEa,4429214Ea,new_entry,correction,,,"Schoolchildren of the Turkmen Dashgouz must come to the first lesson in the new school year, which starts on September 1, 2020, with individual sanitary bags. The class teachers and teachers explained to the parents of the students how these bags will look and what they will contain. A sanitary kit in a self-sewn bag should include wet and dry wipes, hand sanitizer, a tube of oxolinic ointment, a protective face mask, and disinfectant to clean your desk and chair. This requirement, along with an instruction to call the parents of future Dashgouz students, was sent to schools by the leadership of the local education system. According to the teacher of the school #7 of Dashgouz, children without a sanitary bag with the appropriate filling will not be admitted to classes.",2020-08-18,2020-09-01,,Turkmenistan,TKM,TM,Municipal,1,Dasoguz,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Turkmenistan,One or more geographical or administrative units within one or more countries,,Dasoguz,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,58.8637637701543,55.492713356406,52.3980033854924,66,https://fergana.agency/news/120865/,2021-03-26,2021-03-26T17:58:35Z
R_1GCtlZfqkH1Dx4dFj,4429214Fj,new_entry,correction,,,"Schoolchildren of the Turkmen Dashgouz must come to the first lesson in the new school year, which starts on September 1, 2020, with individual sanitary bags. The class teachers and teachers explained to the parents of the students how these bags will look and what they will contain. A sanitary kit in a self-sewn bag should include wet and dry wipes, hand sanitizer, a tube of oxolinic ointment, a protective face mask, and disinfectant to clean your desk and chair. This requirement, along with an instruction to call the parents of future Dashgouz students, was sent to schools by the leadership of the local education system. According to the teacher of the school #7 of Dashgouz, children without a sanitary bag with the appropriate filling will not be admitted to classes.",2020-08-18,2020-09-01,,Turkmenistan,TKM,TM,Municipal,1,Dasoguz,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Turkmenistan,One or more geographical or administrative units within one or more countries,,Dasoguz,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,58.8637637701543,55.492713356406,52.3980033854924,66,https://fergana.agency/news/120865/,2021-03-26,2021-03-26T17:58:35Z
R_0dh55YTBxF6MIlHDc,260633,new_entry,correction,,,"On March 2, 2020, Turkmenistan's Ministry of Health recommended citizens to refrain from traveling abroad.",2020-03-02,2020-03-02,,Turkmenistan,TKM,TM,National,1,,,,External Border Restrictions,Other External Border Restriction,,,Turkmenistan,All countries,,,,,All Residents (Citizen Residents + Foreign Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,Ministry/Department of Health,25.6487754098651,20.8748967539896,15.9185956947079,42,https://www.hronikatm.com/2020/03/no-travel/,2021-03-14,2021-03-14T10:17:19Z
R_1dGHJg3j7B7VHq3Ca,6825424,new_entry,correction,,,"Starting from March 17, 2020, those wishing to visit Turkmenistan must have a certificate confirming that they are free of coronavirus. Travelers who have recently visited any of the countries where the COVID-19 virus has been detected will be required to undergo a medical examination upon entry and may be expelled from the country or quarantined for up to 24 days, if confirmed with COVID-19. The cost of tests and stay in quarantine will be at least $300, and must be paid by the person who entered Turkmenistan.
",2020-03-17,2020-03-17,,Turkmenistan,TKM,TM,National,1,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,,All countries,All countries,,,,,All Residents (Citizen Residents + Foreign Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,38.0607181106595,33.9006426308939,30.0294046170146,18,https://www.hronikatm.com/2020/03/no-virus-certificate/,2021-03-11,2021-03-11T17:06:41Z
R_1dGHJg3j7B7VHq3Bx,6825424,new_entry,correction,,,"Starting from March 17, 2020, those wishing to visit Turkmenistan must have a certificate confirming that they are free of coronavirus. Travelers who have recently visited any of the countries where the COVID-19 virus has been detected will be required to undergo a medical examination upon entry and may be expelled from the country or quarantined for up to 24 days, if confirmed with COVID-19. The cost of tests and stay in quarantine will be at least $300, and must be paid by the person who entered Turkmenistan.
",2020-03-17,2020-03-17,,Turkmenistan,TKM,TM,National,1,,,,External Border Restrictions,Health Certificates,,,All countries,All countries,,,,,All Residents (Citizen Residents + Foreign Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,38.0607181106595,33.9006426308939,30.0294046170146,18,https://www.hronikatm.com/2020/03/no-virus-certificate/,2021-03-11,2021-03-11T17:06:41Z
R_1jps1srse2DI2S9Fw,7502026,new_entry,original,,,"Starting from March 20 to April 20, foreign citizens are not allowed to cross the state border of Turkmenistan.",2020-03-25,2020-03-20,2020-04-20,Turkmenistan,TKM,TM,National,0,,,,External Border Restrictions,Total border crossing ban,,,All countries,All countries,,,,,Foreign Travelers,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,43.7090121699588,39.9261829188219,36.1665293313556,17,https://www.hronikatm.com/2020/03/anti-coronavirus-measures/,2020-09-26,2020-09-26T07:00:05Z
R_1Ij9Ka8ONYmMg70NA,5126736,update,original,,Relaxing,"""Turkmenistan has relaunched imports of Iranian food products and other basic goods...on April 12."" UPDATE: The border with Iran was originally closed. It has reopened for the importation of food on April 12.",2020-04-12,2020-04-12,,Turkmenistan,TKM,TM,National,0,,,,External Border Restrictions,,,,Iran,"One or more countries, but not all countries",,,,,Other,Inbound,Land Border,Mandatory (Unspecified/Implied),National Government,57.1072467973714,53.9415841938968,50.5373076844568,14,https://advance.lexis.com/api/permalink/499072b4-358d-411d-a851-6866a719f2c6/?context=1516831,2020-04-18,2020-04-18T09:59:14Z
R_2UbE4VBY8wdHYLDDc,7094284,new_entry,original,,,"Starting from April 20, all trucks and railways that enter the territory of Turkmenistan will now be disinfected.",2020-04-22,2020-04-20,,Turkmenistan,TKM,TM,National,0,,,,External Border Restrictions,Other External Border Restriction,,,Turkmenistan,All countries,,,,,Other,Inbound,Land Border,Mandatory (Unspecified/Implied),National Government,51.6166692896285,48.2237463739022,44.6424138475282,10,https://www.hronikatm.com/2020/04/cargo-desinfection/,2020-09-26,2020-09-26T13:57:13Z
