record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_1Cmfk8IRKnJoUaLNA,9466982,new_entry,original,,,"The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,,United Arab Emirates,ARE,AE,National,1,,,,Anti-Disinformation Measures,,,,United Arab Emirates,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,"National Government,Ministry/Department of Health",74.1368534557786,71.40310019687,68.2026666152089,84,https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-,2020-07-16,2020-07-16T12:49:08Z
R_1HizdfaHFVzX0wADy,5187042Dy,new_entry,original,,,"The UAE closed all schools and universities, starting on March 8, 2020, for a period of 4 weeks. During these 4 weeks, the schools will undergo a deep clean. The first 2 weeks are meant to be spring break, while the remaining two weeks will continue with online classes. This also restricts all trips, and extra-curricular activities.",2020-03-04,2020-03-08,2020-04-05,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,United Arab Emirates,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),33.3314847193722,29.2816884059423,24.5932772503957,62,https://www.timeoutdubai.com/kids/435627-uae-schools-to-close-from-sunday-march-8 ; https://www.cnbc.com/2020/03/04/coronavirus-uae-cancels-events-announces-school-closures.html,2020-03-30,2020-03-30T16:00:32Z
R_1HizdfaHFVzX0wAEa,5187042Ea,new_entry,original,,,"The UAE closed all schools and universities, starting on March 8, 2020, for a period of 4 weeks. During these 4 weeks, the schools will undergo a deep clean. The first 2 weeks are meant to be spring break, while the remaining two weeks will continue with online classes. This also restricts all trips, and extra-curricular activities.",2020-03-04,2020-03-08,2020-04-05,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,United Arab Emirates,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),33.3314847193722,29.2816884059423,24.5932772503957,62,https://www.timeoutdubai.com/kids/435627-uae-schools-to-close-from-sunday-march-8 ; https://www.cnbc.com/2020/03/04/coronavirus-uae-cancels-events-announces-school-closures.html,2020-03-30,2020-03-30T16:00:32Z
R_1HizdfaHFVzX0wAFj,5187042Fj,new_entry,original,,,"The UAE closed all schools and universities, starting on March 8, 2020, for a period of 4 weeks. During these 4 weeks, the schools will undergo a deep clean. The first 2 weeks are meant to be spring break, while the remaining two weeks will continue with online classes. This also restricts all trips, and extra-curricular activities.",2020-03-04,2020-03-08,2020-04-05,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,United Arab Emirates,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),33.3314847193722,29.2816884059423,24.5932772503957,62,https://www.timeoutdubai.com/kids/435627-uae-schools-to-close-from-sunday-march-8 ; https://www.cnbc.com/2020/03/04/coronavirus-uae-cancels-events-announces-school-closures.html,2020-03-30,2020-03-30T16:00:32Z
R_1HizdfaHFVzX0wACe,5187042Ce,new_entry,original,,,"The UAE closed all schools and universities, starting on March 8, 2020, for a period of 4 weeks. During these 4 weeks, the schools will undergo a deep clean. The first 2 weeks are meant to be spring break, while the remaining two weeks will continue with online classes. This also restricts all trips, and extra-curricular activities.",2020-03-04,2020-03-08,2020-04-05,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,United Arab Emirates,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),33.3314847193722,29.2816884059423,24.5932772503957,62,https://www.timeoutdubai.com/kids/435627-uae-schools-to-close-from-sunday-march-8 ; https://www.cnbc.com/2020/03/04/coronavirus-uae-cancels-events-announces-school-closures.html,2020-03-30,2020-03-30T16:00:32Z
R_1o0v6Ol9ULtBZ43Ea,3056422Ea,new_entry,original,,,"On March 3rd, the UAE’s education ministry announced the closure of all schools and universities in the country – public and private – for four weeks in a bid to prevent the spread of COVID-19.
Spring break was initially scheduled to run from March 29, 2020, to April 12, 2020 – but the ministry has instructed all schools and higher education establishments to close for four weeks from Sunday, March 8, 2020.
During the closure, the ministry will sterilize schools and universities and students will conduct distance learning.",2020-03-03,2020-03-08,2020-04-05,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,United Arab Emirates,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",33.3314847193722,29.2816884059423,24.5932772503957,62,https://www.arabnews.com/node/1636626/middle-east,2020-07-22,2020-07-22T02:38:42Z
R_1o0v6Ol9ULtBZ43Fj,3056422Fj,new_entry,original,,,"On March 3rd, the UAE’s education ministry announced the closure of all schools and universities in the country – public and private – for four weeks in a bid to prevent the spread of COVID-19.
Spring break was initially scheduled to run from March 29, 2020, to April 12, 2020 – but the ministry has instructed all schools and higher education establishments to close for four weeks from Sunday, March 8, 2020.
During the closure, the ministry will sterilize schools and universities and students will conduct distance learning.",2020-03-03,2020-03-08,2020-04-05,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,United Arab Emirates,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",33.3314847193722,29.2816884059423,24.5932772503957,62,https://www.arabnews.com/node/1636626/middle-east,2020-07-22,2020-07-22T02:38:42Z
R_1o0v6Ol9ULtBZ43Ce,3056422Ce,new_entry,original,,,"On March 3rd, the UAE’s education ministry announced the closure of all schools and universities in the country – public and private – for four weeks in a bid to prevent the spread of COVID-19.
Spring break was initially scheduled to run from March 29, 2020, to April 12, 2020 – but the ministry has instructed all schools and higher education establishments to close for four weeks from Sunday, March 8, 2020.
During the closure, the ministry will sterilize schools and universities and students will conduct distance learning.",2020-03-03,2020-03-08,2020-04-05,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,United Arab Emirates,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",33.3314847193722,29.2816884059423,24.5932772503957,62,https://www.arabnews.com/node/1636626/middle-east,2020-07-22,2020-07-22T02:38:42Z
R_qQkfaRsBwkWs9Y5Dy,5187042Dy,update,original,,,"The UAE extended the school closure from a period of 4 weeks to the remaining of the academic year, ending in June 2020. The Ministry of Education is also figuring out a new method conducting examinations. UPDATE: The school closure starting on March 8th, was set to be revised after 4 weeks. After the revision, the closure was extended to the end of the school year in June, with a continuation of e-learning.",2020-03-30,2020-03-30,,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,United Arab Emirates,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),71.8412794135268,68.8567182695883,65.8383878469276,94,https://gulfnews.com/uae/coronavirus-all-uae-schools-universities-extends-e-learning-until-june-1.1585574203861,2020-03-31,2020-03-31T14:44:07Z
R_qQkfaRsBwkWs9Y5Ea,5187042Ea,update,original,,,"The UAE extended the school closure from a period of 4 weeks to the remaining of the academic year, ending in June 2020. The Ministry of Education is also figuring out a new method conducting examinations. UPDATE: The school closure starting on March 8th, was set to be revised after 4 weeks. After the revision, the closure was extended to the end of the school year in June, with a continuation of e-learning.",2020-03-30,2020-03-30,,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,United Arab Emirates,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),71.8412794135268,68.8567182695883,65.8383878469276,94,https://gulfnews.com/uae/coronavirus-all-uae-schools-universities-extends-e-learning-until-june-1.1585574203861,2020-03-31,2020-03-31T14:44:07Z
R_qQkfaRsBwkWs9Y5Fj,5187042Fj,update,original,,,"The UAE extended the school closure from a period of 4 weeks to the remaining of the academic year, ending in June 2020. The Ministry of Education is also figuring out a new method conducting examinations. UPDATE: The school closure starting on March 8th, was set to be revised after 4 weeks. After the revision, the closure was extended to the end of the school year in June, with a continuation of e-learning.",2020-03-30,2020-03-30,,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,United Arab Emirates,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),71.8412794135268,68.8567182695883,65.8383878469276,94,https://gulfnews.com/uae/coronavirus-all-uae-schools-universities-extends-e-learning-until-june-1.1585574203861,2020-03-31,2020-03-31T14:44:07Z
R_qQkfaRsBwkWs9Y5Ce,5187042Ce,update,original,,,"The UAE extended the school closure from a period of 4 weeks to the remaining of the academic year, ending in June 2020. The Ministry of Education is also figuring out a new method conducting examinations. UPDATE: The school closure starting on March 8th, was set to be revised after 4 weeks. After the revision, the closure was extended to the end of the school year in June, with a continuation of e-learning.",2020-03-30,2020-03-30,,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,United Arab Emirates,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),71.8412794135268,68.8567182695883,65.8383878469276,94,https://gulfnews.com/uae/coronavirus-all-uae-schools-universities-extends-e-learning-until-june-1.1585574203861,2020-03-31,2020-03-31T14:44:07Z
