record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_3iHZECW7hLINCXREa,3348314Ea,new_entry,correction,,,Venezuela has suspended classes at public and private schools across the country starting on March 16.,2020-03-13,2020-03-16,2020-04-06,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,63.3303873799648,59.7115019512766,55.6909323675478,122,NA ; https://efectococuyo.com/coronavirus/ratifican-suspension-de-clases-presenciales-por-covid-19/,2021-02-13,2021-02-13T16:15:17Z
R_3iHZECW7hLINCXRFj,3348314Fj,new_entry,correction,,,Venezuela has suspended classes at public and private schools across the country starting on March 16.,2020-03-13,2020-03-16,2020-04-06,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,63.3303873799648,59.7115019512766,55.6909323675478,122,NA ; https://efectococuyo.com/coronavirus/ratifican-suspension-de-clases-presenciales-por-covid-19/,2021-02-13,2021-02-13T16:15:17Z
R_2f9Xv6ifFfd1AlPDy,5241891Dy,new_entry,correction,,,"From March 16, the Cada Familia Una Escuela program is beginning under the Ministry of Education. The program is broadcast on national television in an effort to continue the education of students.",2020-03-16,2020-03-16,,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities allowed to open with conditions,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",63.3303873799648,59.7115019512766,55.6909323675478,122,NA ; https://tenemosnoticias.com/politica/clasificadas-tenemosnoticias-com/mas-de-8-millones-de-estudiantes-reiniciarn-clases-a-distancia/,2021-02-13,2021-02-13T16:27:20Z
R_2f9Xv6ifFfd1AlPEa,5241891Ea,new_entry,correction,,,"From March 16, the Cada Familia Una Escuela program is beginning under the Ministry of Education. The program is broadcast on national television in an effort to continue the education of students.",2020-03-16,2020-03-16,,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",63.3303873799648,59.7115019512766,55.6909323675478,122,NA ; https://tenemosnoticias.com/politica/clasificadas-tenemosnoticias-com/mas-de-8-millones-de-estudiantes-reiniciarn-clases-a-distancia/,2021-02-13,2021-02-13T16:27:20Z
R_2f9Xv6ifFfd1AlPFj,5241891Fj,new_entry,correction,,,"From March 16, the Cada Familia Una Escuela program is beginning under the Ministry of Education. The program is broadcast on national television in an effort to continue the education of students.",2020-03-16,2020-03-16,,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",63.3303873799648,59.7115019512766,55.6909323675478,122,NA ; https://tenemosnoticias.com/politica/clasificadas-tenemosnoticias-com/mas-de-8-millones-de-estudiantes-reiniciarn-clases-a-distancia/,2021-02-13,2021-02-13T16:27:20Z
R_28LZI6nuQ0klWlJEa,3348314Ea,update,correction,,Strengthening,"Venezuela has suspended classes at public and private schools across the country starting on March 16. UPDATE: The original policy began under the national quarantine. On April 7th, the Ministry of Education ratified the suspension of face-to-face classes for the rest of the school year.",2020-04-07,2020-04-07,2020-06-30,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,65.9334881058029,62.9182345126242,59.6818671492506,39,NA ; https://efectococuyo.com/coronavirus/ratifican-suspension-de-clases-presenciales-por-covid-19/ ; http://www.snc.gob.ve/noticias/cierre-del-ano-escolar-sera-el-30-de-junio,2021-02-13,2021-02-13T16:18:54Z
R_28LZI6nuQ0klWlJFj,3348314Fj,update,correction,,Strengthening,"Venezuela has suspended classes at public and private schools across the country starting on March 16. UPDATE: The original policy began under the national quarantine. On April 7th, the Ministry of Education ratified the suspension of face-to-face classes for the rest of the school year.",2020-04-07,2020-04-07,2020-06-30,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,65.9334881058029,62.9182345126242,59.6818671492506,39,NA ; https://efectococuyo.com/coronavirus/ratifican-suspension-de-clases-presenciales-por-covid-19/ ; http://www.snc.gob.ve/noticias/cierre-del-ano-escolar-sera-el-30-de-junio,2021-02-13,2021-02-13T16:18:54Z
R_2Suw1mlc6NCYgK8Ce,7651397Ce,new_entry,original,,,"In Venezuela, the Plan “Universidad en Casa” began on April 13 and has been extended to August 30 as a ""distance education plan that has to guarantee the students the continuation of studies during this quarantine period.""",2020-04-13,2020-04-13,2020-08-30,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",66.1318520125529,62.4283705686682,59.4427159240446,37,https://contrapunto.com/nacional/universidades/plan-universidad-en-casa-se-extedera-hasta-agosto/ ; https://www.elnacional.com/venezuela/isturiz-inicio-del-nuevo-ano-escolar-podria-ser-en-2021/,2020-12-28,2020-12-28T14:49:00Z
R_30dDvXGX1TCt2gJDy,3152053Dy,new_entry,original,,,"On April 21, President Maduro of Venezuela announced that Vive TV is the new television station of the national educational system for the remainder of the 2019-2020 academic year.",2020-04-22,2020-04-21,2020-06-30,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,66.0250762557604,62.6604130181685,58.9861357166081,39,http://www.snc.gob.ve/noticias/vive-tv-es-la-nueva-televisora-del-sistema-educativo-nacional ; http://www.snc.gob.ve/noticias/cierre-del-ano-escolar-sera-el-30-de-junio,2020-12-28,2020-12-28T15:00:09Z
R_30dDvXGX1TCt2gJEa,3152053Ea,new_entry,original,,,"On April 21, President Maduro of Venezuela announced that Vive TV is the new television station of the national educational system for the remainder of the 2019-2020 academic year.",2020-04-22,2020-04-21,2020-06-30,Venezuela,VEN,VE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Venezuela,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,66.0250762557604,62.6604130181685,58.9861357166081,39,http://www.snc.gob.ve/noticias/vive-tv-es-la-nueva-televisora-del-sistema-educativo-nacional ; http://www.snc.gob.ve/noticias/cierre-del-ano-escolar-sera-el-30-de-junio,2020-12-28,2020-12-28T15:00:09Z
