record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_1eWAUvZdsgvcgADNA,7272405,new_entry,correction,,,Zimbabwe on the 30th of March announced up to 20 year jail terms for spreading falsehoods about the Covid-19 outbreak.,2020-03-27,2020-03-30,,Zimbabwe,ZWE,ZW,,1,,,,Anti-Disinformation Measures,,,,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,65.5533748032276,62.3863414248648,59.7169805829386,51,https://www.bbc.com/news/topics/crr7mlg0rpvt/zimbabwe,2020-07-06,2020-07-06T15:24:09Z
R_ZyRkxwZwbRYtzARDy,7928262Dy,new_entry,original,,,"In Zimbabwe, schools and universities will close at the end of the normal school term, Tuesday March 24. Reopening dates will be advised once the threat of the virus has receded.",2020-03-20,2020-03-24,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,58.9684733860807,55.7383689537623,53.0284470934349,49,https://www.universityworldnews.com/post.php?story=20200323065236567 ; https://www.uz.ac.zw/index.php/news/uz-main-news/1359-covid-19-statement-on-the-temporary-closure-of-the-university-of-zimbabwe,2020-05-07,2020-05-07T13:53:43Z
R_ZyRkxwZwbRYtzAREa,7928262Ea,new_entry,original,,,"In Zimbabwe, schools and universities will close at the end of the normal school term, Tuesday March 24. Reopening dates will be advised once the threat of the virus has receded.",2020-03-20,2020-03-24,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,58.9684733860807,55.7383689537623,53.0284470934349,49,https://www.universityworldnews.com/post.php?story=20200323065236567 ; https://www.uz.ac.zw/index.php/news/uz-main-news/1359-covid-19-statement-on-the-temporary-closure-of-the-university-of-zimbabwe,2020-05-07,2020-05-07T13:53:43Z
R_ZyRkxwZwbRYtzARFj,7928262Fj,new_entry,original,,,"In Zimbabwe, schools and universities will close at the end of the normal school term, Tuesday March 24. Reopening dates will be advised once the threat of the virus has receded.",2020-03-20,2020-03-24,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,58.9684733860807,55.7383689537623,53.0284470934349,49,https://www.universityworldnews.com/post.php?story=20200323065236567 ; https://www.uz.ac.zw/index.php/news/uz-main-news/1359-covid-19-statement-on-the-temporary-closure-of-the-university-of-zimbabwe,2020-05-07,2020-05-07T13:53:43Z
R_ZyRkxwZwbRYtzARCe,7928262Ce,new_entry,original,,,"In Zimbabwe, schools and universities will close at the end of the normal school term, Tuesday March 24. Reopening dates will be advised once the threat of the virus has receded.",2020-03-20,2020-03-24,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Zimbabwe,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,58.9684733860807,55.7383689537623,53.0284470934349,49,https://www.universityworldnews.com/post.php?story=20200323065236567 ; https://www.uz.ac.zw/index.php/news/uz-main-news/1359-covid-19-statement-on-the-temporary-closure-of-the-university-of-zimbabwe,2020-05-07,2020-05-07T13:53:43Z
R_3flc8mUiL481aBYEa,7021165Ea,new_entry,original,,,"Public examinations are allowed to take place in Zimbabwe at schools, colleges and tertiary education institutions as of May 17.",2020-05-17,2020-05-17,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Zimbabwe,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,70.0099502109954,66.9037869069258,63.597102556612,79,http://www.veritaszim.net/sites/veritas_d/files/SI%202020-110%20Public%20Health%20%28COVID-19%20Prevention%2C%20Containment%20and%20Treatment%29%20%28National%20Lockdown%29%20%28Amendment%29%20Order%2C%202020%20%28No.%208%29.pdf,2020-06-05,2020-06-05T12:30:47Z
R_3flc8mUiL481aBYFj,7021165Fj,new_entry,original,,,"Public examinations are allowed to take place in Zimbabwe at schools, colleges and tertiary education institutions as of May 17.",2020-05-17,2020-05-17,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Zimbabwe,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,70.0099502109954,66.9037869069258,63.597102556612,79,http://www.veritaszim.net/sites/veritas_d/files/SI%202020-110%20Public%20Health%20%28COVID-19%20Prevention%2C%20Containment%20and%20Treatment%29%20%28National%20Lockdown%29%20%28Amendment%29%20Order%2C%202020%20%28No.%208%29.pdf,2020-06-05,2020-06-05T12:30:47Z
R_3flc8mUiL481aBYCe,7021165Ce,new_entry,original,,,"Public examinations are allowed to take place in Zimbabwe at schools, colleges and tertiary education institutions as of May 17.",2020-05-17,2020-05-17,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Zimbabwe,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,70.0099502109954,66.9037869069258,63.597102556612,79,http://www.veritaszim.net/sites/veritas_d/files/SI%202020-110%20Public%20Health%20%28COVID-19%20Prevention%2C%20Containment%20and%20Treatment%29%20%28National%20Lockdown%29%20%28Amendment%29%20Order%2C%202020%20%28No.%208%29.pdf,2020-06-05,2020-06-05T12:30:47Z
R_20rYUSGCmo6PJD3Ea,6126086Ea,new_entry,original,,,"Phased reopening of primary and secondary schools has begun in Zimbabwe. From July 28, grade seven, form four and upper form six classes can resume.",2020-06-10,2020-07-28,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Zimbabwe,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,69.6317178443926,66.4710303931666,63.2027152652494,104,https://www.herald.co.zw/date-for-schools-reopening-set/,2020-06-16,2020-06-16T15:05:30Z
R_20rYUSGCmo6PJD3Fj,6126086Fj,new_entry,original,,,"Phased reopening of primary and secondary schools has begun in Zimbabwe. From July 28, grade seven, form four and upper form six classes can resume.",2020-06-10,2020-07-28,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Zimbabwe,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,69.6317178443926,66.4710303931666,63.2027152652494,104,https://www.herald.co.zw/date-for-schools-reopening-set/,2020-06-16,2020-06-16T15:05:30Z
