record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_1BWaHDf5ibLRdZ2Ea,7760829Ea,new_entry,original,,,Angola is closing all schools after March 24,2020-03-19,2020-03-24,2020-04-08,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Angola,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),45.130341017543,41.1682524384898,36.5556846092695,12,"https://m.portalangop.co.ao/angola/pt_pt/noticias/educacao/2020/2/12/COVID-MED-encerra-escolas-por-dias,a040ae33-e688-4f75-a136-ac4aacc9d8a4.html",2020-04-02,2020-04-02T19:13:58Z,3,0,0,,,,,,,,,125,4042,1,0,-0.43567043,0.548431635,-0.20141026,16,18,25021974,1.0392e+11,4153.14625,3.006980545,17.0352649,25.3668864,8.33162146,1,1,-0.03074719,-0.23457575,512125,0.31666861
R_1BWaHDf5ibLRdZ2Fj,7760829Fj,new_entry,original,,,Angola is closing all schools after March 24,2020-03-19,2020-03-24,2020-04-08,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Angola,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),45.130341017543,41.1682524384898,36.5556846092695,12,"https://m.portalangop.co.ao/angola/pt_pt/noticias/educacao/2020/2/12/COVID-MED-encerra-escolas-por-dias,a040ae33-e688-4f75-a136-ac4aacc9d8a4.html",2020-04-02,2020-04-02T19:13:58Z,3,0,0,,,,,,,,,125,4042,1,0,-0.43567043,0.548431635,-0.20141026,16,18,25021974,1.0392e+11,4153.14625,3.006980545,17.0352649,25.3668864,8.33162146,1,1,-0.03074719,-0.23457575,512125,0.31666861
R_UzuCxl4I7NqC4KJCe,4816171Ce,new_entry,original,,,Angola is closing universities after March 24,2020-03-23,2020-03-24,,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Angola,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,45.130341017543,41.1682524384898,36.5556846092695,12,https://www.cmjornal.pt/mundo/detalhe/angola-encerra-escolas-universidades-e-igrejas-durante-15-dias-para-prevenir-propagacao-do-coronavirus,2020-04-03,2020-04-03T19:48:23Z,3,0,0,,,,,,,,,125,4042,1,0,-0.43567043,0.548431635,-0.20141026,16,18,25021974,1.0392e+11,4153.14625,3.006980545,17.0352649,25.3668864,8.33162146,1,1,-0.03074719,-0.23457575,512125,0.31666861
R_2bZa59oLNYq2ypjCe,4816171Ce,update,original,End of Policy,,Angola is closing universities after March 24. UPDATE: The policy originally targeted universities but now targets all education establishments,2020-03-23,2020-03-24,,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Angola,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,45.130341017543,41.1682524384898,36.5556846092695,12,NA ; https://www.cisp.gov.ao:10443/wp-content/uploads/2020/04/Decreto-Presidencial-n.%C2%BA-82-20-de-26-de-mar%C3%A7o.pdf,2021-03-02,2021-03-02T14:27:23Z,3,0,0,,,,,,,,,125,4042,1,0,-0.43567043,0.548431635,-0.20141026,16,18,25021974,1.0392e+11,4153.14625,3.006980545,17.0352649,25.3668864,8.33162146,1,1,-0.03074719,-0.23457575,512125,0.31666861
R_3q7Pf6fcihjgcV8NA,2092278,new_entry,original,,,Angola activates state of emergency on March 27,2020-03-25,2020-03-27,2020-04-11,Angola,AGO,AO,National,1,,,,Declaration of Emergency,,,,Angola,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,63.9900477884468,60.0255370612113,55.8249813540721,56,https://www.dn.pt/mundo/-angola-declara-estado-de-emergencia-a-partir-de-sexta-feira-11985859.html,2020-04-03,2020-04-03T16:17:56Z,4,0,0,,,,,,,,,125,4042,1,0,-0.43567043,0.548431635,-0.20141026,16,18,25021974,1.0392e+11,4153.14625,3.006980545,17.0352649,25.3668864,8.33162146,1,1,-0.03074719,-0.23457575,512125,0.31666861
R_1n72Khy16nufvTHNA,8457457,new_entry,original,,,"Angola is restricting the free movement of individuals, which are only allowed to leave their homes for a small number of reasons, as part of the state of emergency after March 27. Mass gathering are also restricted.",2020-03-26,2020-03-27,2020-04-11,Angola,AGO,AO,National,1,,,,Declaration of Emergency,,,,Angola,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,63.9900477884468,60.0255370612113,55.8249813540721,56,"https://www.angop.ao/angola/pt_pt/noticias/saude/2020/2/13/COVID-Sintese-nacional,b54804c2-df5a-428a-bfd1-e9107e67bf85.html",2020-04-03,2020-04-03T17:23:30Z,4,0,0,,,,,,,,,125,4042,1,0,-0.43567043,0.548431635,-0.20141026,16,18,25021974,1.0392e+11,4153.14625,3.006980545,17.0352649,25.3668864,8.33162146,1,1,-0.03074719,-0.23457575,512125,0.31666861
R_22JI6TtyIVViqOKNA,2092278,update,original,,,"Angola is extending the state of emergency until April 25 UPDATE: The original state of emergency declaration was set to last until April 11, it has been extended to April 25",2020-04-09,2020-04-11,2020-04-25,Angola,AGO,AO,National,1,,,,Declaration of Emergency,,,,Angola,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,79.6244439682955,76.0378650801236,72.9432632321466,118,"https://www.angop.ao/angola/pt_pt/noticias/saude/2020/3/15/Covid-prorroga-Estado-Emergencia,c2ccfedc-e49e-4529-ae36-223aa7187645.html",2020-04-11,2020-04-11T18:08:34Z,19,2,4,,,,,,,,,125,4042,1,0,-0.43567043,0.548431635,-0.20141026,16,18,25021974,1.0392e+11,4153.14625,3.006980545,17.0352649,25.3668864,8.33162146,1,1,-0.03074719,-0.23457575,512125,0.31666861
R_25uY4go6EoTuIpCNA,2092278,update,original,Change of Policy,Strengthening,"Angola is extending the state of emergency until May 10 UPDATE: The original state of emergency declaration was set to last until April 11, it was  extended to April 25, and has now been extended until May 10",2020-04-23,2020-04-26,2020-05-10,Angola,AGO,AO,National,1,,,,Declaration of Emergency,,,,Angola,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,72.8971716798012,69.8013450043409,66.1461533343772,77,NA ; https://www.dw.com/pt-002/angola-prolonga-estado-de-emerg%C3%AAncia/a-53225883,2020-05-12,2020-05-12T11:15:34Z,26,2,6,,,,,,,,,125,4042,1,0,-0.43567043,0.548431635,-0.20141026,16,18,25021974,1.0392e+11,4153.14625,3.006980545,17.0352649,25.3668864,8.33162146,1,1,-0.03074719,-0.23457575,512125,0.31666861
R_10vjshhPbsxpgWNNA,2092278,update,original,Change of Policy,Strengthening,"Angola is extending the state of emergency until May 24 UPDATE: The original state of emergency declaration was set to last until April 11, it was  extended to April 25, then to May 10, and now until May 24",2020-05-09,2020-05-11,2020-05-24,Angola,AGO,AO,National,1,,,,Declaration of Emergency,,,,Angola,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,69.666168575595,66.3526808637808,62.479715448222,66,NA ; https://www.dw.com/pt-002/angola-prolonga-estado-de-emerg%C3%AAncia/a-53225883 ; https://www.jornaldenegocios.pt/economia/coronavirus/detalhe/covid-19-presidente-angolano-declara-estado-de-emergencia-por-mais-15-dias,2020-05-12,2020-05-12T11:20:30Z,45,2,13,,,,,,,,,125,4042,1,0,-0.43567043,0.548431635,-0.20141026,16,18,25021974,1.0392e+11,4153.14625,3.006980545,17.0352649,25.3668864,8.33162146,1,1,-0.03074719,-0.23457575,512125,0.31666861
R_2fs3wpTUAtUQSFFNA,5188358,new_entry,original,,,"Angola bans citizens from China, South Korea, Italy, Iran, Nigeria, Egypt, and Algeria that are travelling directly from these countries from entering after March 3",2020-03-01,2020-03-03,2020-03-31,Angola,AGO,AO,National,0,,,,External Border Restrictions,,,,"Algeria,China,Egypt,Iran,Italy,Nigeria,South Korea","One or more countries, but not all countries",,,,,Foreign Travelers,Inbound,All kinds of transport,Mandatory with Legal Penalties (Jail Time),National Government,21.9835073310465,16.1020890468542,10.9680098143055,7,https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1,2020-04-01,2020-04-01T16:57:34Z,0,0,0,,,,,,,,,125,4042,1,0,-0.43567043,0.548431635,-0.20141026,16,18,25021974,1.0392e+11,4153.14625,3.006980545,17.0352649,25.3668864,8.33162146,1,1,-0.03074719,-0.23457575,512125,0.31666861
