record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_Bug6gu17fgKDKjTDy,5858373Dy,new_entry,original,,,"Botswana is closing all schools, meaning pre-primary school, primary school, post primary school, driving school and tertiary institution, including a university.",2020-04-02,2020-04-02,2020-04-30,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Botswana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,66.9114453094188,63.8693223961081,61.0513107730748,53,https://bw.usembassy.gov/wp-content/uploads/sites/125/Emergency-Powers-COVID-19-Regulations-2020.pdf,2020-04-13,2020-04-13T11:54:34Z,4,1,0,,,,,,,,,48,2493,1,1,0.045363374,0.669777811,-0.20141026,3,60,2262485,16018663550,7080.11922,-0.25494143,14.6319743,23.4970203,8.86504602,2,2,1.911443591,0.962242612,56392,0.68513237
R_Bug6gu17fgKDKjTEa,5858373Ea,new_entry,original,,,"Botswana is closing all schools, meaning pre-primary school, primary school, post primary school, driving school and tertiary institution, including a university.",2020-04-02,2020-04-02,2020-04-30,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Botswana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,66.9114453094188,63.8693223961081,61.0513107730748,53,https://bw.usembassy.gov/wp-content/uploads/sites/125/Emergency-Powers-COVID-19-Regulations-2020.pdf,2020-04-13,2020-04-13T11:54:34Z,4,1,0,,,,,,,,,48,2493,1,1,0.045363374,0.669777811,-0.20141026,3,60,2262485,16018663550,7080.11922,-0.25494143,14.6319743,23.4970203,8.86504602,2,2,1.911443591,0.962242612,56392,0.68513237
R_Bug6gu17fgKDKjTFj,5858373Fj,new_entry,original,,,"Botswana is closing all schools, meaning pre-primary school, primary school, post primary school, driving school and tertiary institution, including a university.",2020-04-02,2020-04-02,2020-04-30,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Botswana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,66.9114453094188,63.8693223961081,61.0513107730748,53,https://bw.usembassy.gov/wp-content/uploads/sites/125/Emergency-Powers-COVID-19-Regulations-2020.pdf,2020-04-13,2020-04-13T11:54:34Z,4,1,0,,,,,,,,,48,2493,1,1,0.045363374,0.669777811,-0.20141026,3,60,2262485,16018663550,7080.11922,-0.25494143,14.6319743,23.4970203,8.86504602,2,2,1.911443591,0.962242612,56392,0.68513237
R_Bug6gu17fgKDKjTCe,5858373Ce,new_entry,original,,,"Botswana is closing all schools, meaning pre-primary school, primary school, post primary school, driving school and tertiary institution, including a university.",2020-04-02,2020-04-02,2020-04-30,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Botswana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,66.9114453094188,63.8693223961081,61.0513107730748,53,https://bw.usembassy.gov/wp-content/uploads/sites/125/Emergency-Powers-COVID-19-Regulations-2020.pdf,2020-04-13,2020-04-13T11:54:34Z,4,1,0,,,,,,,,,48,2493,1,1,0.045363374,0.669777811,-0.20141026,3,60,2262485,16018663550,7080.11922,-0.25494143,14.6319743,23.4970203,8.86504602,2,2,1.911443591,0.962242612,56392,0.68513237
R_9SU2OgZ8hGcO9S9Dy,7235716Dy,new_entry,original,,,"Botswana has closed all schools, concerning pre-primary school, primary school, post primary school, driving school and tertiary institution, including a university during the state of emergency",2020-04-02,2020-04-02,2020-04-30,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Botswana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,66.9114453094188,63.8693223961081,61.0513107730748,53,https://bw.usembassy.gov/wp-content/uploads/sites/125/Emergency-Powers-COVID-19-Regulations-2020.pdf,2020-04-15,2020-04-15T12:27:12Z,4,1,0,,,,,,,,,48,2493,1,1,0.045363374,0.669777811,-0.20141026,3,60,2262485,16018663550,7080.11922,-0.25494143,14.6319743,23.4970203,8.86504602,2,2,1.911443591,0.962242612,56392,0.68513237
R_9SU2OgZ8hGcO9S9Ea,7235716Ea,new_entry,original,,,"Botswana has closed all schools, concerning pre-primary school, primary school, post primary school, driving school and tertiary institution, including a university during the state of emergency",2020-04-02,2020-04-02,2020-04-30,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Botswana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,66.9114453094188,63.8693223961081,61.0513107730748,53,https://bw.usembassy.gov/wp-content/uploads/sites/125/Emergency-Powers-COVID-19-Regulations-2020.pdf,2020-04-15,2020-04-15T12:27:12Z,4,1,0,,,,,,,,,48,2493,1,1,0.045363374,0.669777811,-0.20141026,3,60,2262485,16018663550,7080.11922,-0.25494143,14.6319743,23.4970203,8.86504602,2,2,1.911443591,0.962242612,56392,0.68513237
R_9SU2OgZ8hGcO9S9Fj,7235716Fj,new_entry,original,,,"Botswana has closed all schools, concerning pre-primary school, primary school, post primary school, driving school and tertiary institution, including a university during the state of emergency",2020-04-02,2020-04-02,2020-04-30,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Botswana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,66.9114453094188,63.8693223961081,61.0513107730748,53,https://bw.usembassy.gov/wp-content/uploads/sites/125/Emergency-Powers-COVID-19-Regulations-2020.pdf,2020-04-15,2020-04-15T12:27:12Z,4,1,0,,,,,,,,,48,2493,1,1,0.045363374,0.669777811,-0.20141026,3,60,2262485,16018663550,7080.11922,-0.25494143,14.6319743,23.4970203,8.86504602,2,2,1.911443591,0.962242612,56392,0.68513237
R_9SU2OgZ8hGcO9S9Ce,7235716Ce,new_entry,original,,,"Botswana has closed all schools, concerning pre-primary school, primary school, post primary school, driving school and tertiary institution, including a university during the state of emergency",2020-04-02,2020-04-02,2020-04-30,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Botswana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,66.9114453094188,63.8693223961081,61.0513107730748,53,https://bw.usembassy.gov/wp-content/uploads/sites/125/Emergency-Powers-COVID-19-Regulations-2020.pdf,2020-04-15,2020-04-15T12:27:12Z,4,1,0,,,,,,,,,48,2493,1,1,0.045363374,0.669777811,-0.20141026,3,60,2262485,16018663550,7080.11922,-0.25494143,14.6319743,23.4970203,8.86504602,2,2,1.911443591,0.962242612,56392,0.68513237
R_3F5r7eHiJWWdCGTDy,5858373Dy,update,original,Change of Policy,Relaxing,"On May 25 2020, Botswana Ministry of Basic education announced that ""Provision of all basics necessary for adherence to COVID-19 protocols is progressing well and preparations are at an advanced stage for the reopening of schools on June 2, 2020"". The Minister further stated that said the first batch to open would be exam pupils, namely standard sevens as well as form threes and fives. These classes will run for two weeks to enable the ministry and other stakeholders to assess the situation, which assessment will then give them the opportunity to usher in the rest of the pupils. Also, pre-primary classes would resume on August 4, which is the end of the winter season, to avoid possible flu attacks.

Regarding the issue of social distancing classes which had over 50 pupils would be divided into morning and afternoon sessions.

 UPDATE: The Botswana Government is ending its policy in the closure of educational institutions across the country. The policy which took effect on April 2, 2020. The Government has announced that the schools will reopen by June 2 2020.",2020-04-02,2020-04-02,2020-06-02,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Botswana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,66.9114453094188,63.8693223961081,61.0513107730748,53,NA ; https://allafrica.com/stories/202005260106.html,2020-05-31,2020-05-31T13:42:30Z,4,1,0,,,,,,,,,48,2493,1,1,0.045363374,0.669777811,-0.20141026,3,60,2262485,16018663550,7080.11922,-0.25494143,14.6319743,23.4970203,8.86504602,2,2,1.911443591,0.962242612,56392,0.68513237
R_3F5r7eHiJWWdCGTEa,5858373Ea,update,original,Change of Policy,Relaxing,"On May 25 2020, Botswana Ministry of Basic education announced that ""Provision of all basics necessary for adherence to COVID-19 protocols is progressing well and preparations are at an advanced stage for the reopening of schools on June 2, 2020"". The Minister further stated that said the first batch to open would be exam pupils, namely standard sevens as well as form threes and fives. These classes will run for two weeks to enable the ministry and other stakeholders to assess the situation, which assessment will then give them the opportunity to usher in the rest of the pupils. Also, pre-primary classes would resume on August 4, which is the end of the winter season, to avoid possible flu attacks.

Regarding the issue of social distancing classes which had over 50 pupils would be divided into morning and afternoon sessions.

 UPDATE: The Botswana Government is ending its policy in the closure of educational institutions across the country. The policy which took effect on April 2, 2020. The Government has announced that the schools will reopen by June 2 2020.",2020-04-02,2020-04-02,2020-06-02,Botswana,BWA,BW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Botswana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,66.9114453094188,63.8693223961081,61.0513107730748,53,NA ; https://allafrica.com/stories/202005260106.html,2020-05-31,2020-05-31T13:42:30Z,4,1,0,,,,,,,,,48,2493,1,1,0.045363374,0.669777811,-0.20141026,3,60,2262485,16018663550,7080.11922,-0.25494143,14.6319743,23.4970203,8.86504602,2,2,1.911443591,0.962242612,56392,0.68513237
