record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_2Cjg5XhYZkvNMT5Dy,3291877Dy,new_entry,correction,,,Cambodia closes all schools in the town of Siem Reap as of March 7.,2020-03-07,2020-03-07,,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.voanews.com/science-health/coronavirus-outbreak/first-case-virus-found-cambodian ; https://www.phnompenhpost.com/national/covid-19-siem-reap-town-schools-ordered-closed,2020-04-03,2020-04-03T16:52:22Z,1,0,1,,,,,,,,,132,4207,1,1,,0.394925088,-0.20141026,11,21,15577899,15903594934,1020.90756,7.036087179,16.5613637,23.489811,6.92844728,2,1,-0.00040802,1.11425405,1113662,0.30350784
R_2Cjg5XhYZkvNMT5Ea,3291877Ea,new_entry,correction,,,Cambodia closes all schools in the town of Siem Reap as of March 7.,2020-03-07,2020-03-07,,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.voanews.com/science-health/coronavirus-outbreak/first-case-virus-found-cambodian ; https://www.phnompenhpost.com/national/covid-19-siem-reap-town-schools-ordered-closed,2020-04-03,2020-04-03T16:52:22Z,1,0,1,,,,,,,,,132,4207,1,1,,0.394925088,-0.20141026,11,21,15577899,15903594934,1020.90756,7.036087179,16.5613637,23.489811,6.92844728,2,1,-0.00040802,1.11425405,1113662,0.30350784
R_2Cjg5XhYZkvNMT5Fj,3291877Fj,new_entry,correction,,,Cambodia closes all schools in the town of Siem Reap as of March 7.,2020-03-07,2020-03-07,,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.voanews.com/science-health/coronavirus-outbreak/first-case-virus-found-cambodian ; https://www.phnompenhpost.com/national/covid-19-siem-reap-town-schools-ordered-closed,2020-04-03,2020-04-03T16:52:22Z,1,0,1,,,,,,,,,132,4207,1,1,,0.394925088,-0.20141026,11,21,15577899,15903594934,1020.90756,7.036087179,16.5613637,23.489811,6.92844728,2,1,-0.00040802,1.11425405,1113662,0.30350784
R_1IyHmpABeFhrka0Dy,3291877Dy,update,original,,,"Cambodia closes all schools in the towns of Siem Reap and Phnom Penh as of March 14. UPDATE: The original school closures were first implemented in Siem Reap and then extended to Phnom Penh, the capital city.",2020-03-14,2020-03-14,,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://cambodianess.com/article/schools-in-phnom-penh-and-siem-reap-city-close-for-early-summer-vacation ; https://www.thestar.com.my/news/regional/2020/03/14/cambodia-allows-students-in-capital-siem-reap-city-to-take-early-vacation-to-curb-outbreak,2020-04-03,2020-04-03T17:08:11Z,7,0,1,,,,,,,,,132,4207,1,1,,0.394925088,-0.20141026,11,21,15577899,15903594934,1020.90756,7.036087179,16.5613637,23.489811,6.92844728,2,1,-0.00040802,1.11425405,1113662,0.30350784
R_1IyHmpABeFhrka0Ea,3291877Ea,update,original,,,"Cambodia closes all schools in the towns of Siem Reap and Phnom Penh as of March 14. UPDATE: The original school closures were first implemented in Siem Reap and then extended to Phnom Penh, the capital city.",2020-03-14,2020-03-14,,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://cambodianess.com/article/schools-in-phnom-penh-and-siem-reap-city-close-for-early-summer-vacation ; https://www.thestar.com.my/news/regional/2020/03/14/cambodia-allows-students-in-capital-siem-reap-city-to-take-early-vacation-to-curb-outbreak,2020-04-03,2020-04-03T17:08:11Z,7,0,1,,,,,,,,,132,4207,1,1,,0.394925088,-0.20141026,11,21,15577899,15903594934,1020.90756,7.036087179,16.5613637,23.489811,6.92844728,2,1,-0.00040802,1.11425405,1113662,0.30350784
R_1IyHmpABeFhrka0Fj,3291877Fj,update,original,,,"Cambodia closes all schools in the towns of Siem Reap and Phnom Penh as of March 14. UPDATE: The original school closures were first implemented in Siem Reap and then extended to Phnom Penh, the capital city.",2020-03-14,2020-03-14,,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://cambodianess.com/article/schools-in-phnom-penh-and-siem-reap-city-close-for-early-summer-vacation ; https://www.thestar.com.my/news/regional/2020/03/14/cambodia-allows-students-in-capital-siem-reap-city-to-take-early-vacation-to-curb-outbreak,2020-04-03,2020-04-03T17:08:11Z,7,0,1,,,,,,,,,132,4207,1,1,,0.394925088,-0.20141026,11,21,15577899,15903594934,1020.90756,7.036087179,16.5613637,23.489811,6.92844728,2,1,-0.00040802,1.11425405,1113662,0.30350784
R_2rPCep2ILmOP1iCDy,3291877Dy,update,original,,,"Cambodia closes all educational institutions across the country as of March 16. UPDATE: The school closures were previously implemented in Siem Reap and Phnom Penh, they have been extended to include the whole nation as of March 16",2020-03-16,2020-03-16,,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.voacambodia.com/a/cambodia-announces-nationwide-school-closures-covid-response-ramps-up-/5330402.html,2020-04-03,2020-04-03T17:23:47Z,7,0,1,,,,,,,,,132,4207,1,1,,0.394925088,-0.20141026,11,21,15577899,15903594934,1020.90756,7.036087179,16.5613637,23.489811,6.92844728,2,1,-0.00040802,1.11425405,1113662,0.30350784
R_2rPCep2ILmOP1iCEa,3291877Ea,update,original,,,"Cambodia closes all educational institutions across the country as of March 16. UPDATE: The school closures were previously implemented in Siem Reap and Phnom Penh, they have been extended to include the whole nation as of March 16",2020-03-16,2020-03-16,,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.voacambodia.com/a/cambodia-announces-nationwide-school-closures-covid-response-ramps-up-/5330402.html,2020-04-03,2020-04-03T17:23:47Z,7,0,1,,,,,,,,,132,4207,1,1,,0.394925088,-0.20141026,11,21,15577899,15903594934,1020.90756,7.036087179,16.5613637,23.489811,6.92844728,2,1,-0.00040802,1.11425405,1113662,0.30350784
R_2rPCep2ILmOP1iCFj,3291877Fj,update,original,,,"Cambodia closes all educational institutions across the country as of March 16. UPDATE: The school closures were previously implemented in Siem Reap and Phnom Penh, they have been extended to include the whole nation as of March 16",2020-03-16,2020-03-16,,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.voacambodia.com/a/cambodia-announces-nationwide-school-closures-covid-response-ramps-up-/5330402.html,2020-04-03,2020-04-03T17:23:47Z,7,0,1,,,,,,,,,132,4207,1,1,,0.394925088,-0.20141026,11,21,15577899,15903594934,1020.90756,7.036087179,16.5613637,23.489811,6.92844728,2,1,-0.00040802,1.11425405,1113662,0.30350784
R_2rPCep2ILmOP1iCCe,3291877Ce,update,original,,,"Cambodia closes all educational institutions across the country as of March 16. UPDATE: The school closures were previously implemented in Siem Reap and Phnom Penh, they have been extended to include the whole nation as of March 16",2020-03-16,2020-03-16,,Cambodia,KHM,KH,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.voacambodia.com/a/cambodia-announces-nationwide-school-closures-covid-response-ramps-up-/5330402.html,2020-04-03,2020-04-03T17:23:47Z,7,0,1,,,,,,,,,132,4207,1,1,,0.394925088,-0.20141026,11,21,15577899,15903594934,1020.90756,7.036087179,16.5613637,23.489811,6.92844728,2,1,-0.00040802,1.11425405,1113662,0.30350784
