record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_1f7QDiyjAlaGpbyEa,6571264Ea,new_entry,correction,,,"Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/,2020-08-09,2020-08-09T13:06:12Z,91,0,0,,,,,,,,,23,1691,1,1,,0.394925088,-0.20141026,0,55,10546059,2.23836e+11,21224.5758,4.535628699,16.1712627,26.1341778,9.96291502,2,2,2.867771387,,449766,0.86013954
R_1f7QDiyjAlaGpbyFj,6571264Fj,new_entry,correction,,,"Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/,2020-08-09,2020-08-09T13:06:12Z,91,0,0,,,,,,,,,23,1691,1,1,,0.394925088,-0.20141026,0,55,10546059,2.23836e+11,21224.5758,4.535628699,16.1712627,26.1341778,9.96291502,2,2,2.867771387,,449766,0.86013954
R_1f7QDiyjAlaGpbyCe,6571264Ce,new_entry,correction,,,"Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/,2020-08-09,2020-08-09T13:06:12Z,91,0,0,,,,,,,,,23,1691,1,1,,0.394925088,-0.20141026,0,55,10546059,2.23836e+11,21224.5758,4.535628699,16.1712627,26.1341778,9.96291502,2,2,2.867771387,,449766,0.86013954
R_3Mbw8rMjmiUIrk2Ea,6571264Ea,update,original,,Relaxing,"Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities. UPDATE: On April 20, universities and academic research institutions will be allowed to open in a restricted teaching regime, in groups of maximum of 5 students. This is to carry out examinations and other (research and study-related) activities which are essential to the successful and timely graduation of final-year students. University libraries will be allowed to open exclusively for the purposes of picking up or returning library books.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/ ; https://koronavirus.mzcr.cz/uvolnovani-opatreni/,2020-04-20,2020-04-20T21:51:32Z,91,0,0,,,,,,,,,23,1691,1,1,,0.394925088,-0.20141026,0,55,10546059,2.23836e+11,21224.5758,4.535628699,16.1712627,26.1341778,9.96291502,2,2,2.867771387,,449766,0.86013954
R_3Mbw8rMjmiUIrk2Fj,6571264Fj,update,original,,Relaxing,"Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities. UPDATE: On April 20, universities and academic research institutions will be allowed to open in a restricted teaching regime, in groups of maximum of 5 students. This is to carry out examinations and other (research and study-related) activities which are essential to the successful and timely graduation of final-year students. University libraries will be allowed to open exclusively for the purposes of picking up or returning library books.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/ ; https://koronavirus.mzcr.cz/uvolnovani-opatreni/,2020-04-20,2020-04-20T21:51:32Z,91,0,0,,,,,,,,,23,1691,1,1,,0.394925088,-0.20141026,0,55,10546059,2.23836e+11,21224.5758,4.535628699,16.1712627,26.1341778,9.96291502,2,2,2.867771387,,449766,0.86013954
R_3Mbw8rMjmiUIrk2Ce,6571264Ce,update,original,,Relaxing,"Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities. UPDATE: On April 20, universities and academic research institutions will be allowed to open in a restricted teaching regime, in groups of maximum of 5 students. This is to carry out examinations and other (research and study-related) activities which are essential to the successful and timely graduation of final-year students. University libraries will be allowed to open exclusively for the purposes of picking up or returning library books.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/ ; https://koronavirus.mzcr.cz/uvolnovani-opatreni/,2020-04-20,2020-04-20T21:51:32Z,91,0,0,,,,,,,,,23,1691,1,1,,0.394925088,-0.20141026,0,55,10546059,2.23836e+11,21224.5758,4.535628699,16.1712627,26.1341778,9.96291502,2,2,2.867771387,,449766,0.86013954
R_2BnQv1zL4YdWZaWEa,6571264Ea,update,original,,Relaxing,"Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities. UPDATE: Starting Monday April 20, Czech Government announced that universities and academic research institutions will be allowed to open in a restricted regime, namely with at most 5 students present at any time. This is to accommodate final-year exams and activities vital for the graduation of final-year students. University libraries will also be allowed to open, but solely for the purposes of picking up and returning books.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/ ; https://koronavirus.mzcr.cz/uvolnovani-opatreni/,2020-04-27,2020-04-27T21:38:07Z,91,0,0,,,,,,,,,23,1691,1,1,,0.394925088,-0.20141026,0,55,10546059,2.23836e+11,21224.5758,4.535628699,16.1712627,26.1341778,9.96291502,2,2,2.867771387,,449766,0.86013954
R_2BnQv1zL4YdWZaWFj,6571264Fj,update,original,,Relaxing,"Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities. UPDATE: Starting Monday April 20, Czech Government announced that universities and academic research institutions will be allowed to open in a restricted regime, namely with at most 5 students present at any time. This is to accommodate final-year exams and activities vital for the graduation of final-year students. University libraries will also be allowed to open, but solely for the purposes of picking up and returning books.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/ ; https://koronavirus.mzcr.cz/uvolnovani-opatreni/,2020-04-27,2020-04-27T21:38:07Z,91,0,0,,,,,,,,,23,1691,1,1,,0.394925088,-0.20141026,0,55,10546059,2.23836e+11,21224.5758,4.535628699,16.1712627,26.1341778,9.96291502,2,2,2.867771387,,449766,0.86013954
R_2BnQv1zL4YdWZaWCe,6571264Ce,update,original,,Relaxing,"Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities. UPDATE: Starting Monday April 20, Czech Government announced that universities and academic research institutions will be allowed to open in a restricted regime, namely with at most 5 students present at any time. This is to accommodate final-year exams and activities vital for the graduation of final-year students. University libraries will also be allowed to open, but solely for the purposes of picking up and returning books.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/ ; https://koronavirus.mzcr.cz/uvolnovani-opatreni/,2020-04-27,2020-04-27T21:38:07Z,91,0,0,,,,,,,,,23,1691,1,1,,0.394925088,-0.20141026,0,55,10546059,2.23836e+11,21224.5758,4.535628699,16.1712627,26.1341778,9.96291502,2,2,2.867771387,,449766,0.86013954
R_12KzLhe5v0ffvKOEa,6571264Ea,update,correction,,Relaxing,"As of April 27th, universities (and academic research institutions) are allowed to reopen under new hygienic measures. Only 5 students are allowed to be present at a time, social distancing guidelines are to be maintained and contract surfaces sanitized.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://koronavirus.mzcr.cz/pozadavky-pro-vysoke-skoly-vedecko-akademicke-instituce,2020-08-11,2020-08-11T07:40:54Z,91,0,0,,,,,,,,,23,1691,1,1,,0.394925088,-0.20141026,0,55,10546059,2.23836e+11,21224.5758,4.535628699,16.1712627,26.1341778,9.96291502,2,2,2.867771387,,449766,0.86013954
