record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_SHRrQIREUVOT0prDy,5734675Dy,new_entry,correction,,,"The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020. This will remain effective until further notice.",2020-03-26,2020-03-27,,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Eritrea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,https://shabait.com/2020/03/26/ministry-of-health-public-announcement-no-5/,2021-03-13,2021-03-13T07:17:10Z,6,0,0,,,,,,,,,179,8424,1,0,-0.06289643,,-0.20141026,15,18,4789568,2300794306,480.376164,8.679799936,15.3819507,21.5565202,6.17456947,0,0,-1.22152102,,356702,0.07539581
R_SHRrQIREUVOT0prEa,5734675Ea,new_entry,correction,,,"The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020. This will remain effective until further notice.",2020-03-26,2020-03-27,,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Eritrea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,https://shabait.com/2020/03/26/ministry-of-health-public-announcement-no-5/,2021-03-13,2021-03-13T07:17:10Z,6,0,0,,,,,,,,,179,8424,1,0,-0.06289643,,-0.20141026,15,18,4789568,2300794306,480.376164,8.679799936,15.3819507,21.5565202,6.17456947,0,0,-1.22152102,,356702,0.07539581
R_SHRrQIREUVOT0prFj,5734675Fj,new_entry,correction,,,"The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020. This will remain effective until further notice.",2020-03-26,2020-03-27,,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Eritrea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,https://shabait.com/2020/03/26/ministry-of-health-public-announcement-no-5/,2021-03-13,2021-03-13T07:17:10Z,6,0,0,,,,,,,,,179,8424,1,0,-0.06289643,,-0.20141026,15,18,4789568,2300794306,480.376164,8.679799936,15.3819507,21.5565202,6.17456947,0,0,-1.22152102,,356702,0.07539581
R_SHRrQIREUVOT0prCe,5734675Ce,new_entry,correction,,,"The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020. This will remain effective until further notice.",2020-03-26,2020-03-27,,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Eritrea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,https://shabait.com/2020/03/26/ministry-of-health-public-announcement-no-5/,2021-03-13,2021-03-13T07:17:10Z,6,0,0,,,,,,,,,179,8424,1,0,-0.06289643,,-0.20141026,15,18,4789568,2300794306,480.376164,8.679799936,15.3819507,21.5565202,6.17456947,0,0,-1.22152102,,356702,0.07539581
R_eb8y49gbmTJhtiVDy,5734675Dy,update,original,End of Policy,,"The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020. This will remain effective until further notice. UPDATE: As it will be recalled, the Government of Eritrea has implemented the closure of all schools – from kindergarten to colleges – issued on 27 March. However, on Jun 28, 2020, the Ministry of Health issued guidelines on the partial reopening of schools.",2020-03-26,2020-03-27,2020-06-28,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Eritrea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,NA ; https://tesfanews.net/eritrea-covid19-guidelines-partial-re-opening-schools/#disqus_thread ; https://shabait.com/2020/06/28/announcement-from-the-ministry-of-health-37/,2021-03-27,2021-03-27T09:58:33Z,6,0,0,,,,,,,,,179,8424,1,0,-0.06289643,,-0.20141026,15,18,4789568,2300794306,480.376164,8.679799936,15.3819507,21.5565202,6.17456947,0,0,-1.22152102,,356702,0.07539581
R_eb8y49gbmTJhtiVEa,5734675Ea,update,original,End of Policy,,"The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020. This will remain effective until further notice. UPDATE: As it will be recalled, the Government of Eritrea has implemented the closure of all schools – from kindergarten to colleges – issued on 27 March. However, on Jun 28, 2020, the Ministry of Health issued guidelines on the partial reopening of schools.",2020-03-26,2020-03-27,2020-06-28,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Eritrea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,NA ; https://tesfanews.net/eritrea-covid19-guidelines-partial-re-opening-schools/#disqus_thread ; https://shabait.com/2020/06/28/announcement-from-the-ministry-of-health-37/,2021-03-27,2021-03-27T09:58:33Z,6,0,0,,,,,,,,,179,8424,1,0,-0.06289643,,-0.20141026,15,18,4789568,2300794306,480.376164,8.679799936,15.3819507,21.5565202,6.17456947,0,0,-1.22152102,,356702,0.07539581
R_eb8y49gbmTJhtiVFj,5734675Fj,update,original,End of Policy,,"The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020. This will remain effective until further notice. UPDATE: As it will be recalled, the Government of Eritrea has implemented the closure of all schools – from kindergarten to colleges – issued on 27 March. However, on Jun 28, 2020, the Ministry of Health issued guidelines on the partial reopening of schools.",2020-03-26,2020-03-27,2020-06-28,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Eritrea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,NA ; https://tesfanews.net/eritrea-covid19-guidelines-partial-re-opening-schools/#disqus_thread ; https://shabait.com/2020/06/28/announcement-from-the-ministry-of-health-37/,2021-03-27,2021-03-27T09:58:33Z,6,0,0,,,,,,,,,179,8424,1,0,-0.06289643,,-0.20141026,15,18,4789568,2300794306,480.376164,8.679799936,15.3819507,21.5565202,6.17456947,0,0,-1.22152102,,356702,0.07539581
R_eb8y49gbmTJhtiVCe,5734675Ce,update,original,End of Policy,,"The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020. This will remain effective until further notice. UPDATE: As it will be recalled, the Government of Eritrea has implemented the closure of all schools – from kindergarten to colleges – issued on 27 March. However, on Jun 28, 2020, the Ministry of Health issued guidelines on the partial reopening of schools.",2020-03-26,2020-03-27,2020-06-28,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Eritrea,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,NA ; https://tesfanews.net/eritrea-covid19-guidelines-partial-re-opening-schools/#disqus_thread ; https://shabait.com/2020/06/28/announcement-from-the-ministry-of-health-37/,2021-03-27,2021-03-27T09:58:33Z,6,0,0,,,,,,,,,179,8424,1,0,-0.06289643,,-0.20141026,15,18,4789568,2300794306,480.376164,8.679799936,15.3819507,21.5565202,6.17456947,0,0,-1.22152102,,356702,0.07539581
R_3kiYSY0NsTlRByYFj,8420674Fj,new_entry,original,,,"On June 28, 2020, Eritrea's Ministry of Health issued Guidelines on Partial Reopening of Schools. In this respect:

1) Eleventh Grade students all over the country will resume their studies on 6 July in order to complete unfinished portions in the current academic year.",2020-06-28,2020-07-06,,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Eritrea,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education",,,,,https://shabait.com/2020/06/28/announcement-from-the-ministry-of-health-37/ ; https://tesfanews.net/eritrea-covid19-guidelines-partial-re-opening-schools/,2021-03-27,2021-03-27T10:11:28Z,215,0,56,,,,,,,,,179,8424,1,0,-0.06289643,,-0.20141026,15,18,4789568,2300794306,480.376164,8.679799936,15.3819507,21.5565202,6.17456947,0,0,-1.22152102,,356702,0.07539581
R_e5vRxnYiGNL9WalCe,8841057Ce,new_entry,original,,,"On June 28, 2020, the Eritrean Ministry of Health issued Guidelines on partial reopening of schools. In this respect:

2) All College students will resume their studies on 13 July so as to complete the remaining portions scheduled for the current academic year.",2020-06-28,2020-07-13,,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with no conditions,Eritrea,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education",,,,,https://shabait.com/2020/06/28/announcement-from-the-ministry-of-health-37/ ; https://tesfanews.net/eritrea-covid19-guidelines-partial-re-opening-schools/,2021-03-27,2021-03-27T10:16:47Z,232,0,107,,,,,,,,,179,8424,1,0,-0.06289643,,-0.20141026,15,18,4789568,2300794306,480.376164,8.679799936,15.3819507,21.5565202,6.17456947,0,0,-1.22152102,,356702,0.07539581
