record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_2XaE4qkTtLoB208NA,1447205,new_entry,original,,,"On April 22, the Fijian Ministry of Health and Medical Services released a PR strongly advising all health providers in Fiji to cease offering IgM/IgG rapid tests for the diagnosis of COVID-19.  These tests are based on the detection of antibodies and/or antigens and they are not reliable for the acute diagnosis of COVID-19.",2020-04-22,2020-04-22,,Fiji,FJI,FJ,National,1,,,,Anti-Disinformation Measures,,,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,73.5301117465681,70.2180935422489,67.0818614501435,80,http://www.health.gov.fj/warning-against-alternative-covid-19-test-kits/,2020-08-03,2020-08-03T00:13:09Z,18,0,8,68,897,1.001,,,,,,67,2864,1,1,-0.43567043,-0.47221887,3.893140316,6,,892145,3880405926,4349.52381,5.563460807,13.7013839,22.0792056,8.37782165,2,1,1.122553468,-0.68024958,197057,0.450952
R_psLGK7hYuFsSawpNA,4680593,new_entry,original,,,"On May 21, Fiji's Ministry of Health and Medical Services responds to an article written by The Fiji Times to address inaccuracies reported by the article regarding the government's response to COVID-19.",2020-06-01,2020-05-21,2020-05-21,Fiji,FJI,FJ,National,1,,,,Anti-Disinformation Measures,,,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,67.1918582211982,63.6111709713403,60.4188964349844,61,http://www.health.gov.fj/ministry-of-health-and-medical-services-response-to-erroneous-article-by-the-fiji-times/ ; http://www.health.gov.fj/media-center/novel-coronavirus-covid-19/media-releases/,2020-08-03,2020-08-03T21:23:14Z,18,0,15,56,2193,2.446,,,,,,67,2864,1,1,-0.43567043,-0.47221887,3.893140316,6,,892145,3880405926,4349.52381,5.563460807,13.7013839,22.0792056,8.37782165,2,1,1.122553468,-0.68024958,197057,0.450952
R_1Nmrjqvj6j7aVRNDy,2603642Dy,new_entry,original,,,"On March 20, the Fijian government closed schools that fall within the lockdown zone, ""from Kings Road at Nacilau Junction past Matawalu Village, Ba to feeder road at Vakabuli Junction, to the Queens Road at Natalau Junction, Nadi.""",2020-03-20,2020-03-20,,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",65.0114667742809,62.1019644287694,59.2490227027939,105,http://www.education.gov.fj/2020/03/20/media-release-covid-19/,2020-08-10,2020-08-10T22:16:04Z,1,0,0,23,102,0.114,,,,,,67,2864,1,1,-0.43567043,-0.47221887,3.893140316,6,,892145,3880405926,4349.52381,5.563460807,13.7013839,22.0792056,8.37782165,2,1,1.122553468,-0.68024958,197057,0.450952
R_1Nmrjqvj6j7aVRNEa,2603642Ea,new_entry,original,,,"On March 20, the Fijian government closed schools that fall within the lockdown zone, ""from Kings Road at Nacilau Junction past Matawalu Village, Ba to feeder road at Vakabuli Junction, to the Queens Road at Natalau Junction, Nadi.""",2020-03-20,2020-03-20,,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",65.0114667742809,62.1019644287694,59.2490227027939,105,http://www.education.gov.fj/2020/03/20/media-release-covid-19/,2020-08-10,2020-08-10T22:16:04Z,1,0,0,23,102,0.114,,,,,,67,2864,1,1,-0.43567043,-0.47221887,3.893140316,6,,892145,3880405926,4349.52381,5.563460807,13.7013839,22.0792056,8.37782165,2,1,1.122553468,-0.68024958,197057,0.450952
R_1Nmrjqvj6j7aVRNFj,2603642Fj,new_entry,original,,,"On March 20, the Fijian government closed schools that fall within the lockdown zone, ""from Kings Road at Nacilau Junction past Matawalu Village, Ba to feeder road at Vakabuli Junction, to the Queens Road at Natalau Junction, Nadi.""",2020-03-20,2020-03-20,,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",65.0114667742809,62.1019644287694,59.2490227027939,105,http://www.education.gov.fj/2020/03/20/media-release-covid-19/,2020-08-10,2020-08-10T22:16:04Z,1,0,0,23,102,0.114,,,,,,67,2864,1,1,-0.43567043,-0.47221887,3.893140316,6,,892145,3880405926,4349.52381,5.563460807,13.7013839,22.0792056,8.37782165,2,1,1.122553468,-0.68024958,197057,0.450952
R_1Nmrjqvj6j7aVRNCe,2603642Ce,new_entry,original,,,"On March 20, the Fijian government closed schools that fall within the lockdown zone, ""from Kings Road at Nacilau Junction past Matawalu Village, Ba to feeder road at Vakabuli Junction, to the Queens Road at Natalau Junction, Nadi.""",2020-03-20,2020-03-20,,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",65.0114667742809,62.1019644287694,59.2490227027939,105,http://www.education.gov.fj/2020/03/20/media-release-covid-19/,2020-08-10,2020-08-10T22:16:04Z,1,0,0,23,102,0.114,,,,,,67,2864,1,1,-0.43567043,-0.47221887,3.893140316,6,,892145,3880405926,4349.52381,5.563460807,13.7013839,22.0792056,8.37782165,2,1,1.122553468,-0.68024958,197057,0.450952
R_STt8gWiwZQ4bLFvDy,3023624Dy,new_entry,original,,,"On March 20, the Fijian government announced changes to Term 1 school holidays schedule. ""The first term school holidays were initially scheduled from 20 April 2020 to 1 May 2020."" ""The National Term 1 school holidays will now begin on Monday 23 March 2020 and last until 3 April 2020.""",2020-03-20,2020-03-23,2020-04-03,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",70.3225956264428,67.4333375405229,63.9472638468217,111,http://www.education.gov.fj/2020/03/20/term-1-school-holidays-moved-forward-to-23-march-2020/,2020-08-10,2020-08-10T22:23:21Z,3,0,0,,146,0.163,,,,,,67,2864,1,1,-0.43567043,-0.47221887,3.893140316,6,,892145,3880405926,4349.52381,5.563460807,13.7013839,22.0792056,8.37782165,2,1,1.122553468,-0.68024958,197057,0.450952
R_STt8gWiwZQ4bLFvEa,3023624Ea,new_entry,original,,,"On March 20, the Fijian government announced changes to Term 1 school holidays schedule. ""The first term school holidays were initially scheduled from 20 April 2020 to 1 May 2020."" ""The National Term 1 school holidays will now begin on Monday 23 March 2020 and last until 3 April 2020.""",2020-03-20,2020-03-23,2020-04-03,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",70.3225956264428,67.4333375405229,63.9472638468217,111,http://www.education.gov.fj/2020/03/20/term-1-school-holidays-moved-forward-to-23-march-2020/,2020-08-10,2020-08-10T22:23:21Z,3,0,0,,146,0.163,,,,,,67,2864,1,1,-0.43567043,-0.47221887,3.893140316,6,,892145,3880405926,4349.52381,5.563460807,13.7013839,22.0792056,8.37782165,2,1,1.122553468,-0.68024958,197057,0.450952
R_STt8gWiwZQ4bLFvFj,3023624Fj,new_entry,original,,,"On March 20, the Fijian government announced changes to Term 1 school holidays schedule. ""The first term school holidays were initially scheduled from 20 April 2020 to 1 May 2020."" ""The National Term 1 school holidays will now begin on Monday 23 March 2020 and last until 3 April 2020.""",2020-03-20,2020-03-23,2020-04-03,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",70.3225956264428,67.4333375405229,63.9472638468217,111,http://www.education.gov.fj/2020/03/20/term-1-school-holidays-moved-forward-to-23-march-2020/,2020-08-10,2020-08-10T22:23:21Z,3,0,0,,146,0.163,,,,,,67,2864,1,1,-0.43567043,-0.47221887,3.893140316,6,,892145,3880405926,4349.52381,5.563460807,13.7013839,22.0792056,8.37782165,2,1,1.122553468,-0.68024958,197057,0.450952
R_STt8gWiwZQ4bLFvCe,3023624Ce,new_entry,original,,,"On March 20, the Fijian government announced changes to Term 1 school holidays schedule. ""The first term school holidays were initially scheduled from 20 April 2020 to 1 May 2020."" ""The National Term 1 school holidays will now begin on Monday 23 March 2020 and last until 3 April 2020.""",2020-03-20,2020-03-23,2020-04-03,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",70.3225956264428,67.4333375405229,63.9472638468217,111,http://www.education.gov.fj/2020/03/20/term-1-school-holidays-moved-forward-to-23-march-2020/,2020-08-10,2020-08-10T22:23:21Z,3,0,0,,146,0.163,,,,,,67,2864,1,1,-0.43567043,-0.47221887,3.893140316,6,,892145,3880405926,4349.52381,5.563460807,13.7013839,22.0792056,8.37782165,2,1,1.122553468,-0.68024958,197057,0.450952
