record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_1OZ8aPfhcVW6a6uNA,3229554,new_entry,correction,,,"The Indonesian police will be monitoring the internet for hoaxes about the Covid-19 as well as insults to the president, announced on April 4.",2020-04-04,2020-04-04,2021-04-28,Indonesia,IDN,ID,National,1,,,,Anti-Disinformation Measures,,,,Indonesia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Police",59.0631546435292,56.3687832454142,53.2973236021096,18,https://news.detik.com/berita/d-4966256/darurat-corona-polri-patroli-khusus-pantau-hoax-dan-penghinaan-presiden,2021-02-18,2021-02-18T02:13:43Z,2092,191,150,365,7986,0.029,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_31Z6vSC0a5xk8TXEa,749801Ea,new_entry,original,,,"The city council of Solo closed schools in the city for 14 days, from March 14.",2020-03-14,2020-03-14,2020-03-28,Indonesia,IDN,ID,Municipal,1,,,Solo,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Indonesia,,,,Solo,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Municipal Government,Other (Please specify in the text box)",48.7352605315926,45.5533688290216,42.1466617010171,82,https://www.cnbcindonesia.com/news/20200314091326-4-144849/2-warganya-positif-corona-solo-liburkan-sekolah-14-hari,2020-04-09,2020-04-09T09:28:11Z,96,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_31Z6vSC0a5xk8TXFj,749801Fj,new_entry,original,,,"The city council of Solo closed schools in the city for 14 days, from March 14.",2020-03-14,2020-03-14,2020-03-28,Indonesia,IDN,ID,Municipal,1,,,Solo,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Indonesia,,,,Solo,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Municipal Government,Other (Please specify in the text box)",48.7352605315926,45.5533688290216,42.1466617010171,82,https://www.cnbcindonesia.com/news/20200314091326-4-144849/2-warganya-positif-corona-solo-liburkan-sekolah-14-hari,2020-04-09,2020-04-09T09:28:11Z,96,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_3LjYwptQEbBa1ieDy,293133Dy,new_entry,original,,,"The president of Indonesia permits regional governments to close schools in their regions, March 15.",2020-03-15,2020-03-15,,Indonesia,IDN,ID,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Indonesia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Provincial/State Government,Municipal Government,Other (Please specify in the text box)",49.3047014128274,45.997295244505,42.7032243742426,76,https://nasional.kompas.com/read/2020/03/15/14452291/arahan-jokowi-untuk-pemda-liburkan-sekolah-hingga-tingkatkan-layanan-pasien ; https://republika.co.id/berita/q77t74366/mendikbud-dukung-kebijakan-pemda-liburkan-sekolah,2020-05-06,2020-05-06T07:05:21Z,117,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_3LjYwptQEbBa1ieEa,293133Ea,new_entry,original,,,"The president of Indonesia permits regional governments to close schools in their regions, March 15.",2020-03-15,2020-03-15,,Indonesia,IDN,ID,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Indonesia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Provincial/State Government,Municipal Government,Other (Please specify in the text box)",49.3047014128274,45.997295244505,42.7032243742426,76,https://nasional.kompas.com/read/2020/03/15/14452291/arahan-jokowi-untuk-pemda-liburkan-sekolah-hingga-tingkatkan-layanan-pasien ; https://republika.co.id/berita/q77t74366/mendikbud-dukung-kebijakan-pemda-liburkan-sekolah,2020-05-06,2020-05-06T07:05:21Z,117,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_3LjYwptQEbBa1ieFj,293133Fj,new_entry,original,,,"The president of Indonesia permits regional governments to close schools in their regions, March 15.",2020-03-15,2020-03-15,,Indonesia,IDN,ID,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Indonesia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Provincial/State Government,Municipal Government,Other (Please specify in the text box)",49.3047014128274,45.997295244505,42.7032243742426,76,https://nasional.kompas.com/read/2020/03/15/14452291/arahan-jokowi-untuk-pemda-liburkan-sekolah-hingga-tingkatkan-layanan-pasien ; https://republika.co.id/berita/q77t74366/mendikbud-dukung-kebijakan-pemda-liburkan-sekolah,2020-05-06,2020-05-06T07:05:21Z,117,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_3LjYwptQEbBa1ieCe,293133Ce,new_entry,original,,,"The president of Indonesia permits regional governments to close schools in their regions, March 15.",2020-03-15,2020-03-15,,Indonesia,IDN,ID,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Indonesia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Provincial/State Government,Municipal Government,Other (Please specify in the text box)",49.3047014128274,45.997295244505,42.7032243742426,76,https://nasional.kompas.com/read/2020/03/15/14452291/arahan-jokowi-untuk-pemda-liburkan-sekolah-hingga-tingkatkan-layanan-pasien ; https://republika.co.id/berita/q77t74366/mendikbud-dukung-kebijakan-pemda-liburkan-sekolah,2020-05-06,2020-05-06T07:05:21Z,117,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_2cubrxAb4XC4GlKDy,293133Dy,update,original,End of Policy,,"The president of Indonesia and the Ministry of Education permits and supports regional governments to close schools in their regions, March 15. On June 15, the Ministry provided a firmer policy for schools at the basic education level. UPDATE: Ending the policy on June 15, to be continued with a firmer policy.",2020-03-15,2020-03-15,2020-06-15,Indonesia,IDN,ID,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Indonesia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Provincial/State Government,Municipal Government,Other (Please specify in the text box)",49.3047014128274,45.997295244505,42.7032243742426,76,NA ; https://bersamahadapikorona.kemdikbud.go.id/panduan-penyelenggaraan-pembelajaran-pada-tahun-ajaran-dan-tahun-akademik-baru-di-masa-covid-19/,2020-06-26,2020-06-26T13:52:38Z,117,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_2cubrxAb4XC4GlKEa,293133Ea,update,original,End of Policy,,"The president of Indonesia and the Ministry of Education permits and supports regional governments to close schools in their regions, March 15. On June 15, the Ministry provided a firmer policy for schools at the basic education level. UPDATE: Ending the policy on June 15, to be continued with a firmer policy.",2020-03-15,2020-03-15,2020-06-15,Indonesia,IDN,ID,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Indonesia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Provincial/State Government,Municipal Government,Other (Please specify in the text box)",49.3047014128274,45.997295244505,42.7032243742426,76,NA ; https://bersamahadapikorona.kemdikbud.go.id/panduan-penyelenggaraan-pembelajaran-pada-tahun-ajaran-dan-tahun-akademik-baru-di-masa-covid-19/,2020-06-26,2020-06-26T13:52:38Z,117,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
R_2cubrxAb4XC4GlKFj,293133Fj,update,original,End of Policy,,"The president of Indonesia and the Ministry of Education permits and supports regional governments to close schools in their regions, March 15. On June 15, the Ministry provided a firmer policy for schools at the basic education level. UPDATE: Ending the policy on June 15, to be continued with a firmer policy.",2020-03-15,2020-03-15,2020-06-15,Indonesia,IDN,ID,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Indonesia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Provincial/State Government,Municipal Government,Other (Please specify in the text box)",49.3047014128274,45.997295244505,42.7032243742426,76,NA ; https://bersamahadapikorona.kemdikbud.go.id/panduan-penyelenggaraan-pembelajaran-pada-tahun-ajaran-dan-tahun-akademik-baru-di-masa-covid-19/,2020-06-26,2020-06-26T13:52:38Z,117,5,8,,,,,,,,,124,3993,2,2,,-0.82602882,-0.20141026,7,37,257563815,9.87514e+11,3834.05622,4.793921304,19.366778,27.6184566,8.25167858,2,0,-0.05408585,2.513247734,2992338,0.66744058
