record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_3LjStkRPe4meSXFDy,6480331Dy,new_entry,original,,,Jamaica closes all schools for two weeks after March 13.,2020-03-12,2020-03-13,,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Jamaica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",57.2390414375848,53.2321444929314,49.7519873596332,122,https://jis.gov.jm/schools-close-tomorrow-for-14-days/ ; http://www.loopjamaica.com/content/schools-closed-14-days-jamaica-tackles-covid-19,2020-04-02,2020-04-02T16:29:11Z,8,0,0,,,,,,,,,8,1273,0,0,,0.823284328,-0.20141026,3,39,2793335,13631636809,4880.05799,0.996498915,14.8427467,23.3356591,8.49291238,2,2,-0.14838486,-0.04868906,1094899,0.81767675
R_3LjStkRPe4meSXFEa,6480331Ea,new_entry,original,,,Jamaica closes all schools for two weeks after March 13.,2020-03-12,2020-03-13,,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Jamaica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",57.2390414375848,53.2321444929314,49.7519873596332,122,https://jis.gov.jm/schools-close-tomorrow-for-14-days/ ; http://www.loopjamaica.com/content/schools-closed-14-days-jamaica-tackles-covid-19,2020-04-02,2020-04-02T16:29:11Z,8,0,0,,,,,,,,,8,1273,0,0,,0.823284328,-0.20141026,3,39,2793335,13631636809,4880.05799,0.996498915,14.8427467,23.3356591,8.49291238,2,2,-0.14838486,-0.04868906,1094899,0.81767675
R_3LjStkRPe4meSXFFj,6480331Fj,new_entry,original,,,Jamaica closes all schools for two weeks after March 13.,2020-03-12,2020-03-13,,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Jamaica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",57.2390414375848,53.2321444929314,49.7519873596332,122,https://jis.gov.jm/schools-close-tomorrow-for-14-days/ ; http://www.loopjamaica.com/content/schools-closed-14-days-jamaica-tackles-covid-19,2020-04-02,2020-04-02T16:29:11Z,8,0,0,,,,,,,,,8,1273,0,0,,0.823284328,-0.20141026,3,39,2793335,13631636809,4880.05799,0.996498915,14.8427467,23.3356591,8.49291238,2,2,-0.14838486,-0.04868906,1094899,0.81767675
R_2w4YjbR6cwFgEXkCe,1846854Ce,new_entry,correction,,,Jamaica is closing its universities after March 13 for two weeks.,2020-03-12,2020-03-13,2020-03-27,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Jamaica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",57.2390414375848,53.2321444929314,49.7519873596332,122,https://www.mona.uwi.edu/covid19,2020-07-30,2020-07-30T08:40:12Z,8,0,0,,,,,,,,,8,1273,0,0,,0.823284328,-0.20141026,3,39,2793335,13631636809,4880.05799,0.996498915,14.8427467,23.3356591,8.49291238,2,2,-0.14838486,-0.04868906,1094899,0.81767675
R_2WTnDPVlQFYRRo2Dy,6480331Dy,update,original,,,"Jamaica is keeping its schools closed until April 20 after March 24. UPDATE: The original school closure was set to end on March 27, it has been extended to April 20.",2020-03-24,2020-03-24,2020-04-20,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Jamaica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",66.3095622118672,63.363956236972,60.2860078522537,85,https://www.stabroeknews.com/2020/03/24/news/regional/jamaica/jamaica-schools-closed-until-after-easter/ ; http://www.jamaicaobserver.com/news/teachers-not-surprised-by-extended-closure-of-schools_190526?profile=1373,2020-04-02,2020-04-02T16:41:07Z,21,1,2,,148,0.05,,,,,,8,1273,0,0,,0.823284328,-0.20141026,3,39,2793335,13631636809,4880.05799,0.996498915,14.8427467,23.3356591,8.49291238,2,2,-0.14838486,-0.04868906,1094899,0.81767675
R_2WTnDPVlQFYRRo2Ea,6480331Ea,update,original,,,"Jamaica is keeping its schools closed until April 20 after March 24. UPDATE: The original school closure was set to end on March 27, it has been extended to April 20.",2020-03-24,2020-03-24,2020-04-20,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Jamaica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",66.3095622118672,63.363956236972,60.2860078522537,85,https://www.stabroeknews.com/2020/03/24/news/regional/jamaica/jamaica-schools-closed-until-after-easter/ ; http://www.jamaicaobserver.com/news/teachers-not-surprised-by-extended-closure-of-schools_190526?profile=1373,2020-04-02,2020-04-02T16:41:07Z,21,1,2,,148,0.05,,,,,,8,1273,0,0,,0.823284328,-0.20141026,3,39,2793335,13631636809,4880.05799,0.996498915,14.8427467,23.3356591,8.49291238,2,2,-0.14838486,-0.04868906,1094899,0.81767675
R_2WTnDPVlQFYRRo2Fj,6480331Fj,update,original,,,"Jamaica is keeping its schools closed until April 20 after March 24. UPDATE: The original school closure was set to end on March 27, it has been extended to April 20.",2020-03-24,2020-03-24,2020-04-20,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Jamaica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",66.3095622118672,63.363956236972,60.2860078522537,85,https://www.stabroeknews.com/2020/03/24/news/regional/jamaica/jamaica-schools-closed-until-after-easter/ ; http://www.jamaicaobserver.com/news/teachers-not-surprised-by-extended-closure-of-schools_190526?profile=1373,2020-04-02,2020-04-02T16:41:07Z,21,1,2,,148,0.05,,,,,,8,1273,0,0,,0.823284328,-0.20141026,3,39,2793335,13631636809,4880.05799,0.996498915,14.8427467,23.3356591,8.49291238,2,2,-0.14838486,-0.04868906,1094899,0.81767675
R_QgHjsWcR6DCP6edFj,7477932Fj,new_entry,original,,,"Owing to the challenges highlighted for school-aged mothers during COVID-19, The Women Centre Foundation of Jamaica (WCFJ)  inreased its support to include remote education, welfare, and psychological support, as well as provision of care packages of food, toiletries, and other necessities.",2020-06-18,2020-06-18,,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Jamaica,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,69.8526206655672,66.7187687416991,63.8797045389933,96,https://www.brookings.edu/blog/education-plus-development/2020/06/18/support-for-school-aged-moms-in-jamaica-during-covid-19/,2020-10-19,2020-10-19T10:02:57Z,638,10,458,1149,18564,6.269,,,,,,8,1273,0,0,,0.823284328,-0.20141026,3,39,2793335,13631636809,4880.05799,0.996498915,14.8427467,23.3356591,8.49291238,2,2,-0.14838486,-0.04868906,1094899,0.81767675
R_QgHjsWcR6DCP6edCe,7477932Ce,new_entry,original,,,"Owing to the challenges highlighted for school-aged mothers during COVID-19, The Women Centre Foundation of Jamaica (WCFJ)  inreased its support to include remote education, welfare, and psychological support, as well as provision of care packages of food, toiletries, and other necessities.",2020-06-18,2020-06-18,,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Jamaica,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,69.8526206655672,66.7187687416991,63.8797045389933,96,https://www.brookings.edu/blog/education-plus-development/2020/06/18/support-for-school-aged-moms-in-jamaica-during-covid-19/,2020-10-19,2020-10-19T10:02:57Z,638,10,458,1149,18564,6.269,,,,,,8,1273,0,0,,0.823284328,-0.20141026,3,39,2793335,13631636809,4880.05799,0.996498915,14.8427467,23.3356591,8.49291238,2,2,-0.14838486,-0.04868906,1094899,0.81767675
R_1IuxKbaF1MSbEd4NA,3479025,new_entry,original,,,Jamaica is announcing a nationwide curfew from 8pm to 6am starting on April 1.,2020-03-30,2020-04-01,,Jamaica,JAM,JM,National,1,,,,Curfew,,,,Jamaica,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",66.774601997534,63.832497211984,61.12871297285,55,https://www.jamaicansforjustice.org/jamaica-covid-19/ ; jamaican-government ; https://jis.gov.jm/prime-minister-announces-all-island-curfew/,2020-04-03,2020-04-03T06:08:32Z,44,3,2,,,,,,,,,8,1273,0,0,,0.823284328,-0.20141026,3,39,2793335,13631636809,4880.05799,0.996498915,14.8427467,23.3356591,8.49291238,2,2,-0.14838486,-0.04868906,1094899,0.81767675
