record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_vPIUsbytaacfaSJCe,1588498Ce,new_entry,original,,,"On March 2, 2020, Kazakhstan's Ministry of Culture and Sports has recommended the universities in the country to abstain from organising international events, competitions, and festivals for the students, faculty and staff, and to abstain from participating in the already planned ones.",2020-03-02,2020-03-02,,Kazakhstan,KAZ,KZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Kazakhstan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",27.8688005396915,21.7406305113195,15.7922482873827,45,https://online.zakon.kz/Document/?doc_id=32064191#pos=5;-108,2021-03-03,2021-03-03T16:30:40Z,0,0,0,,,,,,,,,157,5401,1,1,0.418137372,-0.69375681,-0.20141026,9,29,17544126,1.8626e+11,10616.6758,1.2,16.6802297,25.9504109,9.27018123,0,1,-0.01604726,,3787623,0.25894513
R_1mxxaHPBJSMBLytDy,2411431Dy,new_entry,correction,,,"By the order of the Chief Sanitary Doctor, in pre-school establishments in Kazakhstan starting March 12, 2020, the following measures are to be implemented: sanitary-disinfection regime including airing out, wet cleaning minimum 3 times a day, disinfection, regular quartzization and morning symptom inspection of children.",2020-03-12,2020-03-12,,Kazakhstan,KAZ,KZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities allowed to open with conditions,Kazakhstan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Provincial/State Government",46.2015420193453,41.2923280264736,36.8344505771694,77,https://online.zakon.kz/Document/?doc_id=39485622#pos=5;-108,2021-02-01,2021-02-01T06:30:18Z,0,0,0,,,,,,,,,157,5401,1,1,0.418137372,-0.69375681,-0.20141026,9,29,17544126,1.8626e+11,10616.6758,1.2,16.6802297,25.9504109,9.27018123,0,1,-0.01604726,,3787623,0.25894513
R_2BgM1PdiBHOjN17Ce,2367839Ce,new_entry,original,,,"""Starting from March 16, 2020, vocational secondary schools and higher education institutions will be switched to distance learning"" in Kazakhstan.",2020-03-12,2020-03-16,,Kazakhstan,KAZ,KZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Kazakhstan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,55.2517506728301,51.6398013429806,47.8101147761535,97,https://advance.lexis.com/api/permalink/e213c988-6ffb-4f52-b23e-7866a99854be/?context=1516831,2020-04-10,2020-04-10T16:09:39Z,10,0,0,386,1038,0.055,,,,,,157,5401,1,1,0.418137372,-0.69375681,-0.20141026,9,29,17544126,1.8626e+11,10616.6758,1.2,16.6802297,25.9504109,9.27018123,0,1,-0.01604726,,3787623,0.25894513
R_OD0jhSvcUMt0uhbEa,6751197Ea,new_entry,correction,,,"""In Kazakhstan, the country will provide for early holidays for education organizations from March 16 to April 5, 2020.""",2020-03-12,2020-03-16,2020-04-05,Kazakhstan,KAZ,KZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Kazakhstan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,55.2517506728301,51.6398013429806,47.8101147761535,97,https://advance.lexis.com/api/permalink/e213c988-6ffb-4f52-b23e-7866a99854be/?context=1516831,2020-04-10,2020-04-10T16:19:08Z,10,0,0,386,1038,0.055,,,,,,157,5401,1,1,0.418137372,-0.69375681,-0.20141026,9,29,17544126,1.8626e+11,10616.6758,1.2,16.6802297,25.9504109,9.27018123,0,1,-0.01604726,,3787623,0.25894513
R_OD0jhSvcUMt0uhbFj,6751197Fj,new_entry,correction,,,"""In Kazakhstan, the country will provide for early holidays for education organizations from March 16 to April 5, 2020.""",2020-03-12,2020-03-16,2020-04-05,Kazakhstan,KAZ,KZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Kazakhstan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,55.2517506728301,51.6398013429806,47.8101147761535,97,https://advance.lexis.com/api/permalink/e213c988-6ffb-4f52-b23e-7866a99854be/?context=1516831,2020-04-10,2020-04-10T16:19:08Z,10,0,0,386,1038,0.055,,,,,,157,5401,1,1,0.418137372,-0.69375681,-0.20141026,9,29,17544126,1.8626e+11,10616.6758,1.2,16.6802297,25.9504109,9.27018123,0,1,-0.01604726,,3787623,0.25894513
R_3p8ZfPoPwUa92C6Ea,329038Ea,new_entry,original,,,"On March 16, the acting head of the administration of Baikonur city (Kazakhstan) declares that schools shall have a spring break during March 16 - April 5, 2020.",2020-03-16,2020-03-16,2020-04-05,Kazakhstan,KAZ,KZ,Provincial,1,Baikonur,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Kazakhstan,One or more provinces within one or more countries,,Baikonur,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Other (Please specify in the text box)",55.2517506728301,51.6398013429806,47.8101147761535,97,http://www.baikonuradm.ru/index.php?mod=npb1&npbid=4164,2021-01-10,2021-01-10T00:23:36Z,10,0,0,386,1038,0.055,,,,,,157,5401,1,1,0.418137372,-0.69375681,-0.20141026,9,29,17544126,1.8626e+11,10616.6758,1.2,16.6802297,25.9504109,9.27018123,0,1,-0.01604726,,3787623,0.25894513
R_3p8ZfPoPwUa92C6Fj,329038Fj,new_entry,original,,,"On March 16, the acting head of the administration of Baikonur city (Kazakhstan) declares that schools shall have a spring break during March 16 - April 5, 2020.",2020-03-16,2020-03-16,2020-04-05,Kazakhstan,KAZ,KZ,Provincial,1,Baikonur,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Kazakhstan,One or more provinces within one or more countries,,Baikonur,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Other (Please specify in the text box)",55.2517506728301,51.6398013429806,47.8101147761535,97,http://www.baikonuradm.ru/index.php?mod=npb1&npbid=4164,2021-01-10,2021-01-10T00:23:36Z,10,0,0,386,1038,0.055,,,,,,157,5401,1,1,0.418137372,-0.69375681,-0.20141026,9,29,17544126,1.8626e+11,10616.6758,1.2,16.6802297,25.9504109,9.27018123,0,1,-0.01604726,,3787623,0.25894513
R_3NBULRuU5haQdCaDy,791011Dy,new_entry,original,,,"On March 16, 2020, the acting head of the administration of Baikonur city (Kazakhstan) recommended that parents of pre-school children choose their children not go to school if possible, and stated that it counts as an excuse of mandatory attendance.",2020-03-16,2020-03-16,,Kazakhstan,KAZ,KZ,Provincial,1,Baikonur,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities allowed to open with conditions,Kazakhstan,One or more provinces within one or more countries,,Baikonur,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"Ministry/Department of Education,Provincial/State Government",55.2517506728301,51.6398013429806,47.8101147761535,97,http://www.baikonuradm.ru/index.php?mod=npb1&npbid=4164,2021-01-23,2021-01-23T06:23:22Z,10,0,0,386,1038,0.055,,,,,,157,5401,1,1,0.418137372,-0.69375681,-0.20141026,9,29,17544126,1.8626e+11,10616.6758,1.2,16.6802297,25.9504109,9.27018123,0,1,-0.01604726,,3787623,0.25894513
R_3HZyUgBcIbOSZKMCe,807197Ce,new_entry,original,,,"On March 16, 2020, the acting head of the administration of Baikonur city (Kazakhstan) ordered temperature and respiratory infections symptoms monitoring in higher education and professional training establishments. Also, distant learning is recommended.",2020-03-16,2020-03-16,,Kazakhstan,KAZ,KZ,Provincial,1,Baikonur,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Kazakhstan,One or more provinces within one or more countries,,Baikonur,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Other (Please specify in the text box)",55.2517506728301,51.6398013429806,47.8101147761535,97,http://www.baikonuradm.ru/index.php?mod=npb1&npbid=4164,2021-01-23,2021-01-23T06:34:43Z,10,0,0,386,1038,0.055,,,,,,157,5401,1,1,0.418137372,-0.69375681,-0.20141026,9,29,17544126,1.8626e+11,10616.6758,1.2,16.6802297,25.9504109,9.27018123,0,1,-0.01604726,,3787623,0.25894513
R_WjnmoD8Pc9CYKEFCe,2015690Ce,new_entry,original,,,"On March 16, 2020, the acting head of the administration of Baikonur city (Kazakhstan) recommended distant learning in higher education and professional training establishments.",2020-03-16,2020-03-16,,Kazakhstan,KAZ,KZ,Provincial,1,Baikonur,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Kazakhstan,One or more provinces within one or more countries,,Baikonur,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"Ministry/Department of Education,Other (Please specify in the text box)",55.2517506728301,51.6398013429806,47.8101147761535,97,http://www.baikonuradm.ru/index.php?mod=npb1&npbid=4164,2021-01-23,2021-01-23T06:38:14Z,10,0,0,386,1038,0.055,,,,,,157,5401,1,1,0.418137372,-0.69375681,-0.20141026,9,29,17544126,1.8626e+11,10616.6758,1.2,16.6802297,25.9504109,9.27018123,0,1,-0.01604726,,3787623,0.25894513
