record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_1GDm1FtDh7wBUmyDy,2981323Dy,new_entry,original,,,Mozambique Government announces the closing of schools.,2020-03-20,2020-03-23,2020-04-21,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Mozambique,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://clubofmozambique.com/news/coronavirus-mozambique-closes-schools-suspends-visa-issuance-president-155819/,2020-04-02,2020-04-02T01:33:02Z,1,0,0,,,,,,,,,93,3105,1,1,-0.43567043,,-0.20141026,11,27,27977863,14309762881,511.467329,6.609723214,17.1469241,23.3842078,6.23728371,2,2,0.050589167,1.190615723,797355,0.48019858
R_1GDm1FtDh7wBUmyEa,2981323Ea,new_entry,original,,,Mozambique Government announces the closing of schools.,2020-03-20,2020-03-23,2020-04-21,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Mozambique,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://clubofmozambique.com/news/coronavirus-mozambique-closes-schools-suspends-visa-issuance-president-155819/,2020-04-02,2020-04-02T01:33:02Z,1,0,0,,,,,,,,,93,3105,1,1,-0.43567043,,-0.20141026,11,27,27977863,14309762881,511.467329,6.609723214,17.1469241,23.3842078,6.23728371,2,2,0.050589167,1.190615723,797355,0.48019858
R_1GDm1FtDh7wBUmyFj,2981323Fj,new_entry,original,,,Mozambique Government announces the closing of schools.,2020-03-20,2020-03-23,2020-04-21,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Mozambique,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://clubofmozambique.com/news/coronavirus-mozambique-closes-schools-suspends-visa-issuance-president-155819/,2020-04-02,2020-04-02T01:33:02Z,1,0,0,,,,,,,,,93,3105,1,1,-0.43567043,,-0.20141026,11,27,27977863,14309762881,511.467329,6.609723214,17.1469241,23.3842078,6.23728371,2,2,0.050589167,1.190615723,797355,0.48019858
R_1GDm1FtDh7wBUmyCe,2981323Ce,new_entry,original,,,Mozambique Government announces the closing of schools.,2020-03-20,2020-03-23,2020-04-21,Mozambique,MOZ,MZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Mozambique,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://clubofmozambique.com/news/coronavirus-mozambique-closes-schools-suspends-visa-issuance-president-155819/,2020-04-02,2020-04-02T01:33:02Z,1,0,0,,,,,,,,,93,3105,1,1,-0.43567043,,-0.20141026,11,27,27977863,14309762881,511.467329,6.609723214,17.1469241,23.3842078,6.23728371,2,2,0.050589167,1.190615723,797355,0.48019858
R_3fTV0704biLayuhNA,7325916,new_entry,original,,,"The President of Mozambique declares State of Emergency for 30 days, counting from the 1st of April.",2020-03-30,2020-04-01,2020-04-30,Mozambique,MOZ,MZ,National,1,,,,Declaration of Emergency,,,,Mozambique,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://clubofmozambique.com/news/mozambique-nyusi-declares-state-of-emergency-156530/ ; https://www.voaportugues.com/a/covid-19-parlamento-mo%C3%A7ambicano-ratifica-estado-de-emerg%C3%AAncia/5354192.html,2020-04-04,2020-04-04T00:37:29Z,10,0,0,19,288,0.009,,,,,,93,3105,1,1,-0.43567043,,-0.20141026,11,27,27977863,14309762881,511.467329,6.609723214,17.1469241,23.3842078,6.23728371,2,2,0.050589167,1.190615723,797355,0.48019858
R_1FswwcKkwoOeJ2WNA,7524446,new_entry,original,,,Mozambique is extending state of emergency for another 30 days for the second time starting on June 1.,2020-05-28,2020-06-01,2020-06-29,Mozambique,MOZ,MZ,National,1,,,,Declaration of Emergency,,,,Mozambique,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Police,,,,,http://www.xinhuanet.com/english/2020-05/29/c_139096955.htm ; https://www.macaubusiness.com/mozambique-president-extends-state-of-emergency-for-another-30-days/,2020-05-29,2020-05-29T23:29:08Z,254,2,97,92,10970,0.351,,,,,,93,3105,1,1,-0.43567043,,-0.20141026,11,27,27977863,14309762881,511.467329,6.609723214,17.1469241,23.3842078,6.23728371,2,2,0.050589167,1.190615723,797355,0.48019858
R_1hyjwRnHoGDpfK8Gi,824686,new_entry,correction,,,Mozambique suspends new visas for Chinese nationals as of January 28.,2020-01-28,2020-01-28,,Mozambique,MOZ,MZ,National,1,,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,,China,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),Inbound,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://www.thinkglobalhealth.org/article/travel-restrictions-china-due-covid-19 ; http://apanews.net/en/news/mozambique-suspends-new-visas-for-chinese-nationals-over-coronavirus-fears,2020-05-12,2020-05-12T23:08:29Z,0,0,0,,,,,,,,,93,3105,1,1,-0.43567043,,-0.20141026,11,27,27977863,14309762881,511.467329,6.609723214,17.1469241,23.3842078,6.23728371,2,2,0.050589167,1.190615723,797355,0.48019858
R_12hHNzryJge1AwGNA,3018096,new_entry,original,,,"Mozambique announces mandatory home quarantine for travellers arriving from countries with more than 1000 confirmed cases of COVID-19 (China, Italy, South Korea, Iran, Germany and France)",2020-03-12,2020-03-12,,Mozambique,MOZ,MZ,National,0,,,,External Border Restrictions,,,,"China,France,Germany,Iran,Italy,South Korea","One or more countries, but not all countries",,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://www.voaportugues.com/a/governo-de-mo%C3%A7ambique-colocar%C3%A1-em-quarentena-pessoas-provenientes-de-seis-pa%C3%ADses/5325818.html ; http://www.rfi.fr/pt/mo%C3%A7ambique/20200312-mo%C3%A7ambique-medidas-de-preven%C3%A7%C3%A3o-contra-o-covid-19,2020-04-04,2020-04-04T04:00:35Z,0,0,0,,,,,,,,,93,3105,1,1,-0.43567043,,-0.20141026,11,27,27977863,14309762881,511.467329,6.609723214,17.1469241,23.3842078,6.23728371,2,2,0.050589167,1.190615723,797355,0.48019858
R_r3HjwQGNxfwDDWxGi,824686,update,original,,,"Mozambique bans the issuing of entry visas, and cancel visas that have already been issued, measure takes place for 30 days as from March 23 UPDATE: The previous visa restrictions applied only on Chinese nationals, now apply for any new entry visas and cancels the ones already issued.",2020-03-20,2020-03-23,2020-04-21,Mozambique,MOZ,MZ,National,0,,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,,All countries,All countries,,,,,All Foreign Nationals (Foreign Residents + Foreign Travelers),Inbound,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://clubofmozambique.com/news/coronavirus-mozambique-closes-schools-suspends-visa-issuance-president-155819/,2020-04-03,2020-04-03T22:23:10Z,1,0,0,,,,,,,,,93,3105,1,1,-0.43567043,,-0.20141026,11,27,27977863,14309762881,511.467329,6.609723214,17.1469241,23.3842078,6.23728371,2,2,0.050589167,1.190615723,797355,0.48019858
R_1q8kndzjkxVedX3NA,2356836,new_entry,original,,,Mozambique extends lockdown for another 30 days.,2020-04-30,2020-05-01,2020-05-30,Mozambique,MOZ,MZ,National,1,,,,Lockdown,,,,Mozambique,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.aa.com.tr/en/africa/mozambique-extends-lockdown-for-another-30-days/1824358,2020-06-08,2020-06-08T21:59:43Z,79,0,12,170,2246,0.072,,,,,,93,3105,1,1,-0.43567043,,-0.20141026,11,27,27977863,14309762881,511.467329,6.609723214,17.1469241,23.3842078,6.23728371,2,2,0.050589167,1.190615723,797355,0.48019858
