record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_1nMBNBocfJ2gziwNA,2818771,new_entry,correction,,,"The Polish Press Agency and GovTech Polska, the Polish government's technology agency, are launching the #FakeHunter app to fight disinformation about the corona epidemic on 8th of April 2020.",2020-04-08,2020-04-08,,Poland,POL,PL,National,1,,,,Anti-Disinformation Measures,,,,Poland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),68.6108433538588,64.9537671305531,61.7296496212831,51,https://www.pap.pl/en/news/news%2C622373%2Cpap-govtech-polska-launch-fakehunter-app-fight-disinformation.html,2020-06-13,2020-06-13T11:00:30Z,5205,159,222,,,,,,,,,54,2647,1,1,1.440437078,0.548431635,0.738691926,0,62,37986412,5.56697e+11,14655.1615,3.940910762,17.452739,27.0452869,9.59254787,2,1,1.844044209,4.883514566,3662384,0.70668148
R_21msljU3VL4xnk4Dy,2672863Dy,new_entry,correction,,,"Poland is closing schools and universities for two weeks from thursday the 12th of March to the 15th of March. Speaking at a joint conference following a special meeting on coronavirus, the ministers said that pre-schools and schools would stop teaching on Thursday, but limited care would still be provided this week to the youngest children.",2020-03-11,2020-03-12,2020-03-25,Poland,POL,PL,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Poland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",50.8764088326475,46.6967805956317,42.1658355238016,105,https://tvn24.pl/tvn24-news-in-english/coronavirus-crisis-polandshuts-all-schools-museums-cinemas-for-two-weeks-4346981,2020-03-28,2020-03-28T12:56:38Z,49,1,0,,,,,,,,,54,2647,1,1,1.440437078,0.548431635,0.738691926,0,62,37986412,5.56697e+11,14655.1615,3.940910762,17.452739,27.0452869,9.59254787,2,1,1.844044209,4.883514566,3662384,0.70668148
R_21msljU3VL4xnk4Ea,2672863Ea,new_entry,correction,,,"Poland is closing schools and universities for two weeks from thursday the 12th of March to the 15th of March. Speaking at a joint conference following a special meeting on coronavirus, the ministers said that pre-schools and schools would stop teaching on Thursday, but limited care would still be provided this week to the youngest children.",2020-03-11,2020-03-12,2020-03-25,Poland,POL,PL,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Poland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",50.8764088326475,46.6967805956317,42.1658355238016,105,https://tvn24.pl/tvn24-news-in-english/coronavirus-crisis-polandshuts-all-schools-museums-cinemas-for-two-weeks-4346981,2020-03-28,2020-03-28T12:56:38Z,49,1,0,,,,,,,,,54,2647,1,1,1.440437078,0.548431635,0.738691926,0,62,37986412,5.56697e+11,14655.1615,3.940910762,17.452739,27.0452869,9.59254787,2,1,1.844044209,4.883514566,3662384,0.70668148
R_21msljU3VL4xnk4Fj,2672863Fj,new_entry,correction,,,"Poland is closing schools and universities for two weeks from thursday the 12th of March to the 15th of March. Speaking at a joint conference following a special meeting on coronavirus, the ministers said that pre-schools and schools would stop teaching on Thursday, but limited care would still be provided this week to the youngest children.",2020-03-11,2020-03-12,2020-03-25,Poland,POL,PL,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Poland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",50.8764088326475,46.6967805956317,42.1658355238016,105,https://tvn24.pl/tvn24-news-in-english/coronavirus-crisis-polandshuts-all-schools-museums-cinemas-for-two-weeks-4346981,2020-03-28,2020-03-28T12:56:38Z,49,1,0,,,,,,,,,54,2647,1,1,1.440437078,0.548431635,0.738691926,0,62,37986412,5.56697e+11,14655.1615,3.940910762,17.452739,27.0452869,9.59254787,2,1,1.844044209,4.883514566,3662384,0.70668148
R_21msljU3VL4xnk4Ce,2672863Ce,new_entry,correction,,,"Poland is closing schools and universities for two weeks from thursday the 12th of March to the 15th of March. Speaking at a joint conference following a special meeting on coronavirus, the ministers said that pre-schools and schools would stop teaching on Thursday, but limited care would still be provided this week to the youngest children.",2020-03-11,2020-03-12,2020-03-25,Poland,POL,PL,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Poland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",50.8764088326475,46.6967805956317,42.1658355238016,105,https://tvn24.pl/tvn24-news-in-english/coronavirus-crisis-polandshuts-all-schools-museums-cinemas-for-two-weeks-4346981,2020-03-28,2020-03-28T12:56:38Z,49,1,0,,,,,,,,,54,2647,1,1,1.440437078,0.548431635,0.738691926,0,62,37986412,5.56697e+11,14655.1615,3.940910762,17.452739,27.0452869,9.59254787,2,1,1.844044209,4.883514566,3662384,0.70668148
R_2A1dGEGow8TqFfENA,5081779,new_entry,original,,,"Poland is introducing a general lock-down: until April 11 inclusive, people will not be able to move freely outside their living, health and professional goals.",2020-03-24,2020-03-24,2020-04-11,Poland,POL,PL,National,1,,,,Curfew,,,,Poland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,55.1483435710268,51.8927779803515,48.0550492719231,34,https://www.gov.pl/web/koronawirus/wprowadzamy-nowe-zasady-bezpieczenstwa-w-zwiazku-z-koronawirusem,2020-03-31,2020-03-31T19:26:48Z,901,10,1,,,,,,,,,54,2647,1,1,1.440437078,0.548431635,0.738691926,0,62,37986412,5.56697e+11,14655.1615,3.940910762,17.452739,27.0452869,9.59254787,2,1,1.844044209,4.883514566,3662384,0.70668148
R_2znBVA0jdi8r4OlNA,1451816,new_entry,original,,,The Polish government is introducing a state of emergency in Poland on 13th of March.,2020-03-13,2020-03-13,,Poland,POL,PL,National,1,,,,Declaration of Emergency,,,,Poland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,51.987607170254,48.4292195851041,44.4226907616538,106,https://www.wroclaw.pl/en/the-polish-government-is-introducing-a-state-of-emergency-in-poland,2020-03-29,2020-03-29T11:30:48Z,68,2,0,,,,,,,,,54,2647,1,1,1.440437078,0.548431635,0.738691926,0,62,37986412,5.56697e+11,14655.1615,3.940910762,17.452739,27.0452869,9.59254787,2,1,1.844044209,4.883514566,3662384,0.70668148
R_z5UdlQ3JQkxB8qtNA,1828264,new_entry,original,,,"From Sunday, 15 March, Poland will close its borders to foreigners. All Polish citizens who are presently abroad can return to their homeland. International passenger air flights and international rail travel will be suspended for 10 days, with possibility of extension.",2020-03-13,2020-03-15,2020-03-25,Poland,POL,PL,National,0,,,,External Border Restrictions,,,,All countries,All countries,,,,,Foreign Travelers,Inbound,All kinds of transport,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,53.701635419194,50.3443132347579,46.8376553168519,99,https://www.gov.pl/web/coronavirus/travel ; https://pl.usembassy.gov/covid-19-information/,2020-03-28,2020-03-28T11:56:12Z,119,3,0,,,,,,,,,54,2647,1,1,1.440437078,0.548431635,0.738691926,0,62,37986412,5.56697e+11,14655.1615,3.940910762,17.452739,27.0452869,9.59254787,2,1,1.844044209,4.883514566,3662384,0.70668148
R_ODr4oChKvnh1b5DNA,6972120,new_entry,original,,,Poland announces that it closes its borders for 10 days starting 15 March due to coronavirus. Poland is imposing border checks.,2020-03-15,2020-03-15,2020-03-25,Poland,POL,PL,National,0,,,,External Border Restrictions,,,,All countries,All countries,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound,All kinds of transport,Mandatory with Legal Penalties (Jail Time),National Government,53.701635419194,50.3443132347579,46.8376553168519,99,https://www.gov.pl/web/qatar/polands-borders-closed-from-15-march-due-to-coronavirus,2020-03-29,2020-03-29T11:25:50Z,119,3,0,,,,,,,,,54,2647,1,1,1.440437078,0.548431635,0.738691926,0,62,37986412,5.56697e+11,14655.1615,3.940910762,17.452739,27.0452869,9.59254787,2,1,1.844044209,4.883514566,3662384,0.70668148
R_2WJeHD3qpsKHDA6NA,1828264,update,original,,,"From Sunday, 15 March, Poland will close its borders to foreigners. All Polish citizens who are presently abroad can return to their homeland. International passenger air flights and international rail travel will be suspended for 10 days, with possibility of extension. 
Update: The border closure has been extended with 20 days, to April 13th. UPDATE: The original border restrictions were set to last until March 25th, they are now extended to April 13.",2020-03-13,2020-03-15,2020-04-13,Poland,POL,PL,National,0,,,,External Border Restrictions,,,,All countries,All countries,,,,,Foreign Travelers,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Military",53.701635419194,50.3443132347579,46.8376553168519,99,https://www.gov.pl/web/coronavirus/travel ; https://wbj.pl/poland-extends-border-closures-until-april-13/post/126527,2020-04-02,2020-04-02T13:21:21Z,119,3,0,,,,,,,,,54,2647,1,1,1.440437078,0.548431635,0.738691926,0,62,37986412,5.56697e+11,14655.1615,3.940910762,17.452739,27.0452869,9.59254787,2,1,1.844044209,4.883514566,3662384,0.70668148
