record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_3jViRRqz4K3yCxZDy,9653278Dy,new_entry,correction,,,Coronavirus pandemic forces closure of schools in St Lucia from March 16 to April 13.,2020-03-14,2020-03-16,2020-04-13,Saint Lucia,LCA,LC,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Saint Lucia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Voluntary/Recommended but No Penalties",National Government,,,,,http://www.loopslu.com/content/all-saint-lucian-schools-closed-monday-march-16,2020-04-11,2020-04-11T10:31:02Z,2,0,0,,,,,,,,,,,2,2,,,-0.20141026,,60,184999,1262175299,6822.60606,2.370013159,12.1281057,20.9561025,8.82799679,2,2,1.170535088,,56027,
R_3jViRRqz4K3yCxZEa,9653278Ea,new_entry,correction,,,Coronavirus pandemic forces closure of schools in St Lucia from March 16 to April 13.,2020-03-14,2020-03-16,2020-04-13,Saint Lucia,LCA,LC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Saint Lucia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Voluntary/Recommended but No Penalties",National Government,,,,,http://www.loopslu.com/content/all-saint-lucian-schools-closed-monday-march-16,2020-04-11,2020-04-11T10:31:02Z,2,0,0,,,,,,,,,,,2,2,,,-0.20141026,,60,184999,1262175299,6822.60606,2.370013159,12.1281057,20.9561025,8.82799679,2,2,1.170535088,,56027,
R_3jViRRqz4K3yCxZFj,9653278Fj,new_entry,correction,,,Coronavirus pandemic forces closure of schools in St Lucia from March 16 to April 13.,2020-03-14,2020-03-16,2020-04-13,Saint Lucia,LCA,LC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Saint Lucia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Voluntary/Recommended but No Penalties",National Government,,,,,http://www.loopslu.com/content/all-saint-lucian-schools-closed-monday-march-16,2020-04-11,2020-04-11T10:31:02Z,2,0,0,,,,,,,,,,,2,2,,,-0.20141026,,60,184999,1262175299,6822.60606,2.370013159,12.1281057,20.9561025,8.82799679,2,2,1.170535088,,56027,
R_3jViRRqz4K3yCxZCd,9653278Cd,new_entry,correction,,,Coronavirus pandemic forces closure of schools in St Lucia from March 16 to April 13.,2020-03-14,2020-03-16,2020-04-13,Saint Lucia,LCA,LC,National,1,,,,Closure and Regulation of Schools,Higher education (i.e. degree granting institutions),,Higher education closed/locked down,Saint Lucia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Voluntary/Recommended but No Penalties",National Government,,,,,http://www.loopslu.com/content/all-saint-lucian-schools-closed-monday-march-16,2020-04-11,2020-04-11T10:31:02Z,2,0,0,,,,,,,,,,,2,2,,,-0.20141026,,60,184999,1262175299,6822.60606,2.370013159,12.1281057,20.9561025,8.82799679,2,2,1.170535088,,56027,
R_3jfcQrgwRoRWPidNA,2916901,new_entry,correction,,,St. Lucia introduces nation-wide curfew.,2020-03-23,2020-03-23,2020-04-05,Saint Lucia,LCA,LC,National,1,,,,Curfew,,,,Saint Lucia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Police",,,,,https://www.loopnewsbarbados.com/content/two-men-arrested-gros-islet-breaching-curfew-order-0,2020-04-11,2020-04-11T11:47:49Z,3,0,0,,,,,,,,,,,2,2,,,-0.20141026,,60,184999,1262175299,6822.60606,2.370013159,12.1281057,20.9561025,8.82799679,2,2,1.170535088,,56027,
R_BLiMQu3KGJnmLNTNA,2150351,new_entry,correction,,,"The Prime Minister of Saint Lucia declared state of emergency on March 23, which would last till April 5.",2020-03-23,2020-03-23,2020-04-05,Saint Lucia,LCA,LC,National,1,,,,Declaration of Emergency,,,,Saint Lucia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Police",,,,,http://www.loopnewsbarbados.com/content/state-emergency-declared-saint-lucia-2 ; https://menafn.com/1099901394/St-Lucia-parliament-to-approve-COVID-19-emergency-powers,2020-04-11,2020-04-11T11:55:33Z,3,0,0,,,,,,,,,,,2,2,,,-0.20141026,,60,184999,1262175299,6822.60606,2.370013159,12.1281057,20.9561025,8.82799679,2,2,1.170535088,,56027,
R_2WUrIuPqJUcqX9vNA,1762242,new_entry,original,,,"The government of Saint Lucia will not allow any non-national with a travel history within the last 14 days from Mainland China, (whether in- transit or originating), to enter any local port as of 12 a.m. on Feb. 4, 2020.",2020-02-04,2020-02-04,,Saint Lucia,LCA,LC,National,0,,,,External Border Restrictions,,,,China,"One or more countries, but not all countries",,,,,Foreign Residents (Foreign Nationals Residing in the Country),Inbound,All kinds of transport,Voluntary/Recommended but No Penalties,National Government,,,,,http://www.govt.lc/news/saint-lucia-imposes-travel-restrictions-on-travellers-from-china,2020-03-29,2020-03-29T16:23:13Z,0,0,0,,,,,,,,,,,2,2,,,-0.20141026,,60,184999,1262175299,6822.60606,2.370013159,12.1281057,20.9561025,8.82799679,2,2,1.170535088,,56027,
R_1nQ7Ub6h2ApyQhMNA,7712421,new_entry,correction,,,Saint Lucia imposes travel restrictions on travellers from China,2020-02-04,2020-02-04,,Saint Lucia,LCA,LC,National,1,,,,External Border Restrictions,,,,China,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),Inbound,All kinds of transport (all below except visa restrictions),Voluntary/Recommended but No Penalties,National Government,,,,,http://www.govt.lc/news/saint-lucia-imposes-travel-restrictions-on-travellers-from-china,2020-04-08,2020-04-08T14:24:45Z,0,0,0,,,,,,,,,,,2,2,,,-0.20141026,,60,184999,1262175299,6822.60606,2.370013159,12.1281057,20.9561025,8.82799679,2,2,1.170535088,,56027,
R_3F20Ota8t3iRbOrNA,5524291,new_entry,original,,,"The government of Saint Lucia will not allow any non-national with a travel history within the last 14 days from Hong Kong, Republic of Korea, Japan, Italy, and Singapore, (whether in- transit or originating), to enter any local port as of 12 a.m. on Feb. 26, 2020.",2020-02-25,2020-02-26,,Saint Lucia,LCA,LC,National,0,,,,External Border Restrictions,,,,"Hong Kong,Italy,Japan,Singapore,South Korea","One or more countries, but not all countries",,,,,Foreign Residents (Foreign Nationals Residing in the Country),Inbound,All kinds of transport,Voluntary/Recommended but No Penalties,National Government,,,,,http://www.govt.lc/news/saint-lucia-extends-travel-restrictions,2020-03-30,2020-03-30T09:39:28Z,0,0,0,,,,,,,,,,,2,2,,,-0.20141026,,60,184999,1262175299,6822.60606,2.370013159,12.1281057,20.9561025,8.82799679,2,2,1.170535088,,56027,
R_27jnGv0UomlHn5zNA,460209,new_entry,correction,,,"The government of Saint Lucia will not allow any non-national with a travel history within the last 14 days from Hong Kong, Italy, Japan, Singapore, Republic of Korea, (whether in- transit or originating), to enter any local port as of 12 a.m. on Feb. 26, 2020.",2020-02-25,2020-02-26,,Saint Lucia,LCA,LC,National,1,,,,External Border Restrictions,,,,"Hong Kong,Italy,Japan,Singapore,South Korea","One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),Inbound,All kinds of transport (all below except visa restrictions),Mandatory (Unspecified/Implied),National Government,,,,,http://www.govt.lc/news/saint-lucia-extends-travel-restrictions,2020-04-08,2020-04-08T14:40:36Z,0,0,0,,,,,,,,,,,2,2,,,-0.20141026,,60,184999,1262175299,6822.60606,2.370013159,12.1281057,20.9561025,8.82799679,2,2,1.170535088,,56027,
