record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_3KB1DP8rwDEa42dDy,109049Dy,new_entry,original,,,"On March 12, the Government of Slovenia adopted the decision to temporarily close kindergartens and schools between March 16 and March 29.",2020-03-12,2020-03-16,2020-03-29,Slovenia,SVN,SI,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Slovenia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.gov.si/en/news/2020-03-12-slovenia-to-declare-an-epidemic-and-temporarily-close-kindergartens-and-schools/,2020-04-03,2020-04-03T03:27:29Z,253,1,0,871,7437,3.577,,,,,,37,2170,,2,,0.548431635,-0.11370425,0,61,2063531,49073433775,23781.2922,2.316644859,14.5399291,24.6165836,10.0766545,2,2,3.057347298,,158076,0.85956462
R_3KB1DP8rwDEa42dEa,109049Ea,new_entry,original,,,"On March 12, the Government of Slovenia adopted the decision to temporarily close kindergartens and schools between March 16 and March 29.",2020-03-12,2020-03-16,2020-03-29,Slovenia,SVN,SI,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Slovenia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.gov.si/en/news/2020-03-12-slovenia-to-declare-an-epidemic-and-temporarily-close-kindergartens-and-schools/,2020-04-03,2020-04-03T03:27:29Z,253,1,0,871,7437,3.577,,,,,,37,2170,,2,,0.548431635,-0.11370425,0,61,2063531,49073433775,23781.2922,2.316644859,14.5399291,24.6165836,10.0766545,2,2,3.057347298,,158076,0.85956462
R_3KB1DP8rwDEa42dFj,109049Fj,new_entry,original,,,"On March 12, the Government of Slovenia adopted the decision to temporarily close kindergartens and schools between March 16 and March 29.",2020-03-12,2020-03-16,2020-03-29,Slovenia,SVN,SI,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Slovenia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.gov.si/en/news/2020-03-12-slovenia-to-declare-an-epidemic-and-temporarily-close-kindergartens-and-schools/,2020-04-03,2020-04-03T03:27:29Z,253,1,0,871,7437,3.577,,,,,,37,2170,,2,,0.548431635,-0.11370425,0,61,2063531,49073433775,23781.2922,2.316644859,14.5399291,24.6165836,10.0766545,2,2,3.057347298,,158076,0.85956462
R_3KB1DP8rwDEa42dCe,109049Ce,new_entry,original,,,"On March 12, the Government of Slovenia adopted the decision to temporarily close kindergartens and schools between March 16 and March 29.",2020-03-12,2020-03-16,2020-03-29,Slovenia,SVN,SI,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Slovenia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.gov.si/en/news/2020-03-12-slovenia-to-declare-an-epidemic-and-temporarily-close-kindergartens-and-schools/,2020-04-03,2020-04-03T03:27:29Z,253,1,0,871,7437,3.577,,,,,,37,2170,,2,,0.548431635,-0.11370425,0,61,2063531,49073433775,23781.2922,2.316644859,14.5399291,24.6165836,10.0766545,2,2,3.057347298,,158076,0.85956462
R_32LNUqxrLHwVFXoNA,1583144,new_entry,original,,,"On March 12 at 6 p.m., Slovenia declares an epidemic. At the same time, the national emergency response plan is activated.",2020-03-12,2020-03-12,,Slovenia,SVN,SI,National,1,,,,Declaration of Emergency,,,,Slovenia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.gov.si/en/news/2020-03-12-slovenia-declares-coronavirus-epidemic/,2020-04-03,2020-04-03T03:14:55Z,89,0,0,1045,3863,1.858,,,,,,37,2170,,2,,0.548431635,-0.11370425,0,61,2063531,49073433775,23781.2922,2.316644859,14.5399291,24.6165836,10.0766545,2,2,3.057347298,,158076,0.85956462
R_1oaLZxpI5bOCYAyNA,1377366,new_entry,original,,,"Slovenia bans aircrafts from Italian airports, in places where risk of infection is higher, from China, South Korea, and Iran. The ban applies from 10. 3. 2020 to 31. 3. 2020, with a possibility of extension. This does not apply to emergency and medical flights.",2020-03-09,2020-03-10,2020-03-31,Slovenia,SVN,SI,National,0,,,,External Border Restrictions,,,,"China,Iran,Italy,South Korea","One or more countries, but not all countries",,,,,All (Travelers + Residents),Inbound,Flights,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,,,,,https://www.gov.si/en/news/2020-03-09-national-security-council-adopts-measures-to-contain-the-spread-of-coronavirus/,2020-04-03,2020-04-03T02:40:29Z,31,0,0,542,2069,0.995,,,,,,37,2170,,2,,0.548431635,-0.11370425,0,61,2063531,49073433775,23781.2922,2.316644859,14.5399291,24.6165836,10.0766545,2,2,3.057347298,,158076,0.85956462
R_1lfB0PXFh4fvbEQNA,1291379,new_entry,original,,,"On 10 March, Slovenia advises citizens against travelling to the South Korean area around Daegu and Cheongju and against all but essential travel to other parts of the Republic of Korea.",2020-03-10,2020-03-10,,Slovenia,SVN,SI,National,0,,,,External Border Restrictions,,,,South Korea,"One or more countries, but not all countries",,,,,All (Travelers + Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,National Government,,,,,https://www.gov.si/en/news/2020-03-10-south-korea-travel-advisory/,2020-04-03,2020-04-03T02:54:57Z,31,0,0,542,2069,0.995,,,,,,37,2170,,2,,0.548431635,-0.11370425,0,61,2063531,49073433775,23781.2922,2.316644859,14.5399291,24.6165836,10.0766545,2,2,3.057347298,,158076,0.85956462
R_3lK3GdGBDZiFmYFNA,9957632,new_entry,original,,,"On March 10, Slovenia advises ""against all but essential travel to China and against all travel to the province of Hubei until further notice.""",2020-03-10,2020-03-10,,Slovenia,SVN,SI,National,0,,,,External Border Restrictions,,,,China,"One or more countries, but not all countries",,,,,All Citizens (Citizen Residents + Citizen Travelers),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,National Government,,,,,https://www.gov.si/en/news/2020-03-10-china-travel-advisory/,2020-04-03,2020-04-03T02:59:21Z,31,0,0,542,2069,0.995,,,,,,37,2170,,2,,0.548431635,-0.11370425,0,61,2063531,49073433775,23781.2922,2.316644859,14.5399291,24.6165836,10.0766545,2,2,3.057347298,,158076,0.85956462
R_29mEC7LBNtZuxh0NA,9333984,new_entry,original,,,"On March 10, the Slovenian MFA advises against all travel to Italy.",2020-03-10,2020-03-10,,Slovenia,SVN,SI,National,0,,,,External Border Restrictions,,,,Italy,"One or more countries, but not all countries",,,,,All (Travelers + Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,National Government,,,,,https://www.gov.si/en/news/2020-03-10-italy-travel-advisory/,2020-04-03,2020-04-03T03:01:50Z,31,0,0,542,2069,0.995,,,,,,37,2170,,2,,0.548431635,-0.11370425,0,61,2063531,49073433775,23781.2922,2.316644859,14.5399291,24.6165836,10.0766545,2,2,3.057347298,,158076,0.85956462
R_1cYb05Oa1zHEopyNA,3031369,new_entry,correction,,,"On 10 March, the Slovenian MFA advised against all travel to Iran. Slovenian citizens temporarily staying in Iran are advised to leave the country as soon as possible.",2020-03-10,2020-03-10,,Slovenia,SVN,SI,National,1,,,,External Border Restrictions,,,,Iran,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",,,,,URL/link   https://www.gov.si/en/news/2020-03-10-iran-travel-advisory/        Newspaper/Institution,2020-06-16,2020-06-16T14:26:14Z,31,0,0,542,2069,0.995,,,,,,37,2170,,2,,0.548431635,-0.11370425,0,61,2063531,49073433775,23781.2922,2.316644859,14.5399291,24.6165836,10.0766545,2,2,3.057347298,,158076,0.85956462
