record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_CghN9IFn4Nv6OTTNA,4946857,new_entry,correction,,,"On March 7, ""the Interior Ministry of Tajikistan has promised to find and bring to account individuals involved in the circulation of rumours about the coronavirus.""",2020-03-07,2020-03-07,,Tajikistan,TJK,TJ,National,1,,,,Anti-Disinformation Measures,,Punishment for spreading rumors about the coronavirus,,Tajikistan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,Not Applicable,Mandatory with Legal Penalties (Jail Time),"Police,Other (Please specify in the text box)",19.1844891422236,15.1114928772333,11.4343899334625,4,https://advance.lexis.com/api/permalink/0ece7d44-5077-49a9-8ae8-d915e524657c/?context=1516831,2021-03-25,2021-03-25T21:57:15Z,0,0,0,,,,,,,,,149,5027,1,1,0.107444331,-0.76148521,-0.20141026,12,25,8481855,7912816345,932.91106,6,15.9534397,22.7917496,6.83830987,2,1,0.22851643,,602840,0.19072393
R_26mskX2XCiPC6QSNA,8571642,new_entry,correction,,,"""The World Health Organisation and Tajikistan's Ministry of Health and Social Protection held a working meeting in the capital Dushanbe on 10 March,"" in relation to the coronavirus.
",2020-03-11,2020-03-10,,Tajikistan,TJK,TJ,National,1,,,,Anti-Disinformation Measures,,Emergency planning rather than intiating,,Tajikistan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,Not Applicable,Mandatory (Unspecified/Implied),Ministry/Department of Health,19.5850143504258,15.6608597301581,11.5649156777981,4,https://advance.lexis.com/api/permalink/f4f419de-b23d-4730-be6d-6c1d3731c3dc/?context=1516831,2021-03-25,2021-03-25T22:12:49Z,0,0,0,,,,,,,,,149,5027,1,1,0.107444331,-0.76148521,-0.20141026,12,25,8481855,7912816345,932.91106,6,15.9534397,22.7917496,6.83830987,2,1,0.22851643,,602840,0.19072393
R_TtQSix76cnzouGZNA,7619852,new_entry,original,,,"On June 26, the upper house of the Tajikistan Parliament approved controversial changes to the Code of Administrative Offenses, which provide for a fine for knowingly false information about the coronavirus pandemic in the media and social networks.",2020-06-26,2020-06-26,,Tajikistan,TJK,TJ,National,1,,,,Anti-Disinformation Measures,,,,Tajikistan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,National Government,67.848469012022,65.1266443925401,62.1591083100011,87,https://rus.ozodi.org/a/30691969.html,2020-09-21,2020-09-21T04:18:41Z,5747,52,4331,,,,,,,,,149,5027,1,1,0.107444331,-0.76148521,-0.20141026,12,25,8481855,7912816345,932.91106,6,15.9534397,22.7917496,6.83830987,2,1,0.22851643,,602840,0.19072393
R_232Wr2D8HOlX77PCe,4939866Ce,new_entry,correction,,,"As of April 29, examination sessions have begun early in many universities in Tajikistan, which should be ended by May 10",2020-04-29,2020-04-29,2020-05-10,Tajikistan,TJK,TJ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Tajikistan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,48.4156254949205,45.4307135484048,42.352214279748,9,https://fergana.news/news/117621/,2021-03-25,2021-03-25T22:43:02Z,0,0,0,,,,,,,,,149,5027,1,1,0.107444331,-0.76148521,-0.20141026,12,25,8481855,7912816345,932.91106,6,15.9534397,22.7917496,6.83830987,2,1,0.22851643,,602840,0.19072393
R_3R4QpInU1JA57hVEa,2500273Ea,new_entry,original,,,"The Republican Committee for combating coronavirus announced on May 5 that schools will extend the holidays untill August 16, final exams for classes 9 and 11 will take place in June and for the other classes the evaluation will be based on performance during September 2019 - April 2020.",2020-05-05,2020-05-10,2020-08-16,Tajikistan,TJK,TJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Tajikistan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",52.9200866024326,49.7862280241202,46.9618583247139,9,https://www.asiaplustj.info/ru/news/tajikistan/power/20200505/shkolnikam-tadzhikistana-prodlili-kanikuli-do-16-avgusta,2020-06-23,2020-06-23T18:11:04Z,612,20,0,,,,,,,,,149,5027,1,1,0.107444331,-0.76148521,-0.20141026,12,25,8481855,7912816345,932.91106,6,15.9534397,22.7917496,6.83830987,2,1,0.22851643,,602840,0.19072393
R_3R4QpInU1JA57hVFj,2500273Fj,new_entry,original,,,"The Republican Committee for combating coronavirus announced on May 5 that schools will extend the holidays untill August 16, final exams for classes 9 and 11 will take place in June and for the other classes the evaluation will be based on performance during September 2019 - April 2020.",2020-05-05,2020-05-10,2020-08-16,Tajikistan,TJK,TJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Tajikistan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",52.9200866024326,49.7862280241202,46.9618583247139,9,https://www.asiaplustj.info/ru/news/tajikistan/power/20200505/shkolnikam-tadzhikistana-prodlili-kanikuli-do-16-avgusta,2020-06-23,2020-06-23T18:11:04Z,612,20,0,,,,,,,,,149,5027,1,1,0.107444331,-0.76148521,-0.20141026,12,25,8481855,7912816345,932.91106,6,15.9534397,22.7917496,6.83830987,2,1,0.22851643,,602840,0.19072393
R_aUYxiSH1glkp2BrFj,7730710Fj,new_entry,original,,,"On June 1,  the Republican Headquarters for Combating coronavirus announced that Graduates of the 9th and 11th grades of secondary schools in Tajikistan will receive certification documents without exams on the basis of quarter and annual grades.
",2020-06-01,2020-06-01,,Tajikistan,TJK,TJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Tajikistan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),56.5531453964736,53.6726453043198,50.9130728394809,25,https://khovar.tj/rus/2020/06/respublikanskij-shtab-ekzamenov-ne-budet-attestatsionnye-otsenki-dlya-vypusknikov-obshheobrazovatelnyh-uchrezhdenij-respubliki-v-9-i-11-klassah-budet-vystavlyatsya-na-osnove-itogov-chetvertnyh-i-godov/,2020-12-08,2020-12-08T14:47:45Z,4013,47,2089,,,,,,,,,149,5027,1,1,0.107444331,-0.76148521,-0.20141026,12,25,8481855,7912816345,932.91106,6,15.9534397,22.7917496,6.83830987,2,1,0.22851643,,602840,0.19072393
R_Rwr0uM68LkSsuGdEa,6566059Ea,new_entry,original,,,"As of June 11, a children's channel in Tajikistan began broadcasting distance lessons for schoolchildren, which last 15-20 minutes and include homework.
",2020-06-01,2020-06-01,,Tajikistan,TJK,TJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Tajikistan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,56.5531453964736,53.6726453043198,50.9130728394809,25,https://asiaplustj.info/ru/news/tajikistan/society/20200611/distantsionnie-uroki-dlya-shkolnikov-nachali-translirovat-na-tv-bahoriston,2020-12-08,2020-12-08T16:23:40Z,4013,47,2089,,,,,,,,,149,5027,1,1,0.107444331,-0.76148521,-0.20141026,12,25,8481855,7912816345,932.91106,6,15.9534397,22.7917496,6.83830987,2,1,0.22851643,,602840,0.19072393
R_Rwr0uM68LkSsuGdFj,6566059Fj,new_entry,original,,,"As of June 11, a children's channel in Tajikistan began broadcasting distance lessons for schoolchildren, which last 15-20 minutes and include homework.
",2020-06-01,2020-06-01,,Tajikistan,TJK,TJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Tajikistan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,56.5531453964736,53.6726453043198,50.9130728394809,25,https://asiaplustj.info/ru/news/tajikistan/society/20200611/distantsionnie-uroki-dlya-shkolnikov-nachali-translirovat-na-tv-bahoriston,2020-12-08,2020-12-08T16:23:40Z,4013,47,2089,,,,,,,,,149,5027,1,1,0.107444331,-0.76148521,-0.20141026,12,25,8481855,7912816345,932.91106,6,15.9534397,22.7917496,6.83830987,2,1,0.22851643,,602840,0.19072393
R_11jVnSxci72iHdFEa,3314034Ea,new_entry,correction,,,"In Tajikistan, the Ministry of Education and Science of the country announced on August 5 that classes in schools will be held in compliance with sanitary and epidemiological standards and social distance.",2020-08-06,2020-08-06,,Tajikistan,TJK,TJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Tajikistan,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,62.8442338950557,60.0734223510411,57.3086123366348,73,https://rus.ozodi.org/a/30769551.html,2021-03-25,2021-03-25T23:27:51Z,7665,62,6443,,,,,,,,,149,5027,1,1,0.107444331,-0.76148521,-0.20141026,12,25,8481855,7912816345,932.91106,6,15.9534397,22.7917496,6.83830987,2,1,0.22851643,,602840,0.19072393
